old_private	new_private	destination_module
_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companionCyclicSeed	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial.0.NumStability.companionCyclicSeed	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial
_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companion_transpose_minpoly_natDegree_ge	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial.0.NumStability.companion_transpose_minpoly_natDegree_ge	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial
_private.NumStability.Algorithms.TestMatrices.Higham28Companion.0.NumStability.companion_transpose_pow_seed_succ	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial.0.NumStability.companion_transpose_pow_seed_succ	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionCoefficientMoment	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_gram	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionCoefficientMoment_gram	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_smul	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionCoefficientMoment_smul	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionCoefficientMoment_truncated	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionCoefficientMoment_truncated	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionExceptionalCore	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionExceptionalCore	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionExceptionalCore_charpoly	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionExceptionalCore_charpoly	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionGramFormula_mulVec_apply	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionGramFormula_mulVec_apply	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionGram_sub_one_eq_rankTwo	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionGram_sub_one_eq_rankTwo	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionLastBasis	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionLastBasis	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionLastBasis_mul_sum	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionLastBasis_mul_sum	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoLeft	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionRankTwoLeft	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoLeft_mul_right	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionRankTwoLeft_mul_right	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionRankTwoRight	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionRankTwoRight	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionReverseCoefficients	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_last	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionReverseCoefficients_last	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_norm_sq_sum	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionReverseCoefficients_norm_sq_sum	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companionReverseCoefficients_star_sum	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companionReverseCoefficients_star_sum	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_alpha_sub_two_le_exceptional_sqrt	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companion_alpha_sub_two_le_exceptional_sqrt	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_norm_sq_complex	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companion_norm_sq_complex	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_a0_unit	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Normality.0.NumStability.companion_normal_higher_a0_unit	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_coeff_vanish	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Normality.0.NumStability.companion_normal_higher_coeff_vanish	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_normal_higher_last_coeff_vanish	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Normality.0.NumStability.companion_normal_higher_last_coeff_vanish	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.companion_two_sub_alpha_le_exceptional_sqrt	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.companion_two_sub_alpha_le_exceptional_sqrt	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.fin_add_one_lt_iff_ne_last	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.fin_add_one_lt_iff_ne_last	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.matrix_rank_add_le	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.matrix_rank_add_le	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.matrix_sub_scalar_neg_one_eq_one_add	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.matrix_sub_scalar_neg_one_eq_one_add	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.one_add_companionRankTwoRight_mul_left	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.one_add_companionRankTwoRight_mul_left	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral.0.NumStability.sum_mul_companionLastBasis	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues.0.NumStability.sum_mul_companionLastBasis	NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companionMatrix_sub_scalar_rank_ge_succ	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory.0.NumStability.companionMatrix_sub_scalar_rank_ge_succ	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companion_transpose_pow_seed_nat	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory.0.NumStability.companion_transpose_pow_seed_nat	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.companion_transpose_reverseBasis_step	_private.NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory.0.NumStability.companion_transpose_reverseBasis_step	NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.scaledSineColumn_eq	_private.NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors.0.NumStability.scaledSineColumn_eq	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.sin_neighbor_identity	_private.NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors.0.NumStability.sin_neighbor_identity	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.toeplitzSineVector_angle	_private.NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors.0.NumStability.toeplitzSineVector_angle	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors
_private.NumStability.Algorithms.TestMatrices.Higham28Contracts.0.NumStability.toeplitz_sine_boundary	_private.NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors.0.NumStability.toeplitz_sine_boundary	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors
_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.det_gsColumnsToMatrix_ne_zero_of_linearIndependent	_private.NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar.0.NumStability.det_gsColumnsToMatrix_ne_zero_of_linearIndependent	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar
_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurableSet_linearIndependent_fin_cons	_private.NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar.0.NumStability.measurableSet_linearIndependent_fin_cons	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar
_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.measurable_modifiedGramSchmidtVectors_apply	_private.NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar.0.NumStability.measurable_modifiedGramSchmidtVectors_apply	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar
_private.NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt	_private.NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar.0.NumStability.span_range_ne_top_of_linearIndependent_of_card_lt	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar
_private.NumStability.Algorithms.TestMatrices.Higham28Ginibre.0.NumStability.ginibre_abs_sub_half_le_add	_private.NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics.0.NumStability.ginibre_abs_sub_half_le_add	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.ClosedFormAsymptotics
_private.NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence.0.NumStability.ginibreAbsoluteDetRecurrenceMeasurableSpace	_private.NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact.0.NumStability.ginibreAbsoluteDetRecurrenceMeasurableSpace	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact
_private.NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence.0.NumStability.ginibreAbsoluteDetRecurrenceSigmaFinite	_private.NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact.0.NumStability.ginibreAbsoluteDetRecurrenceSigmaFinite	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact
_private.NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence.0.NumStability.ginibre_natRawCast_one	_private.NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact.0.NumStability.ginibre_natRawCast_one	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.DimensionTwoExact
