owner_module	path	base_blob_oid	baseline_declarations	public_declarations	private_declarations	relocated_declarations	retained_declarations	destination_modules	wrapper_action	worker_change	postimage_sha256
NumStability.Algorithms.TestMatrices.Higham28	NumStability/Algorithms/TestMatrices/Higham28.lean	9539dcc3e026e3e2781baa8ece0026fe23e0f74d	0	0	0	0	0	-	import_only_wrapper	modified	D501F26D1B87081EBBA57760B5A643EF8FAD9605424A87E8EDCCBBF5F8C91C99
NumStability.Algorithms.TestMatrices.Higham28Asymptotics	NumStability/Algorithms/TestMatrices/Higham28Asymptotics.lean	4d5871bf59d2215eaf94a0e743fcfa8bc0ec245c	0	0	0	0	0	-	retain_byte_identical	byte_identical	EA6B95AD2AC5552414F45D96B7B83816F26AEB9A502B8EC92B18F7CE7EC73564
NumStability.Algorithms.TestMatrices.Higham28Cauchy	NumStability/Algorithms/TestMatrices/Higham28Cauchy.lean	36c0872facb463b0707c52c62ac3ba7cdfebb040	0	0	0	0	0	-	retain_byte_identical	byte_identical	9DFB91DAB14D0A9AA566DB0F7377D642EBCBFF0AA9B57DE661CA0F8086B537FD
NumStability.Algorithms.TestMatrices.Higham28Companion	NumStability/Algorithms/TestMatrices/Higham28Companion.lean	6c30290c4d2df0777121100cf4f7db2f7a135f90	7	4	3	7	0	NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	import_only_wrapper	modified	2472B32512F589364D0AEDCA47EC31E3D06AAFEB01F777F26C9DD8A66C361BA2
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	NumStability/Algorithms/TestMatrices/Higham28CompanionSpectral.lean	9dd898f2dc5d2387ee8ced4536c61eb4bbcc7767	46	18	28	46	0	NumStability.Source.Higham.Chapter28.Section06.Companion.Normality;NumStability.Source.Higham.Chapter28.Section06.Companion.SingularValues	import_only_wrapper	modified	FDBBDE1A8428B436F3B68719FE200AE47218371E64A3D239641B71A5CF55455B
NumStability.Algorithms.TestMatrices.Higham28Contracts	NumStability/Algorithms/TestMatrices/Higham28Contracts.lean	ecdffefcf3530d3d057d16a005f279eebf041dcb	16	9	7	16	0	NumStability.Source.Higham.Chapter28.Section05.TridiagonalToeplitz.SineEigenvectors;NumStability.Source.Higham.Chapter28.Section06.Companion.Nonderogatory	import_only_wrapper	modified	FCEDD5B9AF941BC97C369CDB6BC6C6FF99F45232E5CD58DFFFA6450A2F6F27E9
NumStability.Algorithms.TestMatrices.Higham28Exact	NumStability/Algorithms/TestMatrices/Higham28Exact.lean	34fdeb06893f13caa2a9823fcc39a8a762c3ed57	0	0	0	0	0	-	retain_byte_identical	byte_identical	186BD1085E6B1123769B114E94583EA1E3A8284DF3F4ADEA927DF9CC54922F4F
NumStability.Algorithms.TestMatrices.Higham28GaussianDirection	NumStability/Algorithms/TestMatrices/Higham28GaussianDirection.lean	9f1ce5d945e1e840939ad3637d3c390362a0e7b5	0	0	0	0	0	-	import_only_wrapper	modified	23582E6204A0776F9A51584E03D26C53126D618AF6D485DC3F347F4FB0D5E2B2
NumStability.Algorithms.TestMatrices.Higham28GaussianOrthogonal	NumStability/Algorithms/TestMatrices/Higham28GaussianOrthogonal.lean	69396d33b0ef88ebc8fc584ccaab7a3ef7841e34	0	0	0	0	0	-	import_only_wrapper	modified	02270CF373FDB02E1EE526D6D4EC1527251571C6500D1BF66C20E1A23EF000B5
NumStability.Algorithms.TestMatrices.Higham28GaussianQRHaar	NumStability/Algorithms/TestMatrices/Higham28GaussianQRHaar.lean	223bbaffc805b877fba3bb7abdeed1f5f95dee3e	18	14	4	18	0	NumStability.Source.Higham.Chapter28.Section03.Theorem01.StewartHaar.QRFactorHaar	import_only_wrapper	modified	2EE6D39D468D284C6F7C89E4C6301A142C9A43F81F4FB747362B50514384BBD8
