module	role	import_order	lean_import_line	provenance
NumStability.Algorithms.TestMatrices.Higham28	compatibility	1	import Mathlib.Algebra.BigOperators.Intervals	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	2	import Mathlib.Analysis.SpecialFunctions.Pow.Real	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	3	import Mathlib.Data.Nat.Choose.Cast	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	4	import Mathlib.Data.Nat.Choose.Sum	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	5	import Mathlib.Data.Nat.Choose.Vandermonde	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	6	import Mathlib.LinearAlgebra.Matrix.Block	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	7	import NumStability.Analysis.MatrixAlgebra	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	8	import NumStability.Analysis.TestMatrices.Cauchy.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	9	import NumStability.Analysis.TestMatrices.Companion.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	10	import NumStability.Analysis.TestMatrices.Hilbert.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	11	import NumStability.Analysis.TestMatrices.Orthogonal.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	12	import NumStability.Analysis.TestMatrices.Pascal.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	13	import NumStability.Analysis.TestMatrices.RandomSVD.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	14	import NumStability.Analysis.TestMatrices.Toeplitz.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	15	import NumStability.Source.Higham.Chapter28.Equation01.HilbertInverse.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	16	import NumStability.Source.Higham.Chapter28.Equation02.ExactHilbertDeterminant.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	17	import NumStability.Source.Higham.Chapter28.Equation03.HilbertCholeskyFactor.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28	compatibility	18	import NumStability.Source.Higham.Chapter28.Equation04.HilbertCholeskyInverse.Basic	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28Companion	compatibility	1	import Mathlib.LinearAlgebra.Matrix.Charpoly.Minpoly	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28Companion	compatibility	2	import NumStability.Algorithms.TestMatrices.Higham28Contracts	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28Companion	compatibility	3	import NumStability.Analysis.LinearOperators.Jordan.NormalForm.PrimaryDecomposition	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28Companion	compatibility	4	import NumStability.Analysis.TestMatrices.Companion.Companion	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28Companion	compatibility	5	import NumStability.Source.Higham.Chapter28.Section06.Companion.CharacteristicPolynomial	c0006_expanded
NumStability.Algorithms.TestMatrices.Higham28Companion	compatibility	6	import NumStability.Source.Higham.Chapter28.Section06.Companion.Companion	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	compatibility	1	import NumStability.Algorithms.TestMatrices.Higham28Companion	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	compatibility	2	import NumStability.Analysis.TestMatrices.Companion.CompanionSpectral	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	compatibility	3	import NumStability.Source.Higham.Chapter28.Section06.Companion.CompanionSpectral	c0006_direct
NumStability.Algorithms.TestMatrices.Higham28CompanionSpectral	compatibility	4	import NumStability.Source.Higham.Chapter28.Section06.Companion.Normality	c0006_expanded
