owner_module	path	base_blob_oid	current_tier	debt_flags	declaration_count	semantic_classification	destination_modules	compatibility_action	split_rationale	dependency_rationale	review_status
NumStability.Algorithms.Ch14AsymptoticFamilies	NumStability/Algorithms/Ch14AsymptoticFamilies.lean	00f54a78eee2fc93cb88f08fee805083e57b126e	unclassified	noncanonical_modules;unclassified_modules	10	relocate_whole	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14BlockTriInverse	NumStability/Algorithms/Ch14BlockTriInverse.lean	3b2bba1096323aba906f11cb64fddb99db26c308	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	NumStability/Algorithms/Ch14Cor146UniformInverseBridge.lean	7da0dc2c4fb85e6372df2ffe47dfff10d67e153e	unclassified	noncanonical_modules;unclassified_modules	2	relocate_whole	NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	NumStability/Algorithms/Ch14Cor147FinalDivisionFamilyClosure.lean	6ef6832fa0acecc101d5578250c972092d3f51fb	unclassified	noncanonical_modules;unclassified_modules	20	relocate_whole	NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	NumStability/Algorithms/Ch14Cor147SourceDomainConstructor.lean	cae8b6de828b7dd960bfd0b2511031f6896c56f9	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Corollary146Closure	NumStability/Algorithms/Ch14Corollary146Closure.lean	4d348511cbb1ff0ff5e3bed1cdac6e39431c2ed0	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Corollary146Concrete	NumStability/Algorithms/Ch14Corollary146Concrete.lean	ddc7b8cc12b52c74fea350b3304e387e59f6cf61	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Corollary146SourceClosure	NumStability/Algorithms/Ch14Corollary146SourceClosure.lean	70bff54b27ca1bc9d8f635f67a2d24dde1127a9d	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Corollary147	NumStability/Algorithms/Ch14Corollary147.lean	1eb6dc04cf29be06e8ae7982f916af7553a9f08f	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Corollary147Closure	NumStability/Algorithms/Ch14Corollary147Closure.lean	eb2e5ab8f9de7f34b17a1d2b4c32c84c6408fbfa	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Corollary147Concrete	NumStability/Algorithms/Ch14Corollary147Concrete.lean	7ca069310b7970d109606c12afd9c29b3f1700d1	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Corollary147SourceClosure	NumStability/Algorithms/Ch14Corollary147SourceClosure.lean	fda89b585e333201e1893f42e709415a92be5b3f	unclassified	noncanonical_modules;unclassified_modules	18	relocate_whole	NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Corollary147WeakFamily	NumStability/Algorithms/Ch14Corollary147WeakFamily.lean	ab57e274df2e4e458c4ecfe12232d5f41406c127	unclassified	noncanonical_modules;unclassified_modules	11	relocate_whole	NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14ForwardErrorEndpoint	NumStability/Algorithms/Ch14ForwardErrorEndpoint.lean	084bd7e5ed2a5e17793c1c8b4a8bff6ac9cf53eb	unclassified	noncanonical_modules;unclassified_modules	12	relocate_whole	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ScaledPerturbationEndpoints.ForwardError	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GJEActualDoolittleAdapter	NumStability/Algorithms/Ch14GJEActualDoolittleAdapter.lean	cf0ffb1a229d49c5478332180fef931f8f462d26	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GJEAsymptoticFamilies	NumStability/Algorithms/Ch14GJEAsymptoticFamilies.lean	4229247dada4034e7de675852f625c24c04585b9	unclassified	noncanonical_modules;unclassified_modules	22	relocate_whole	NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GJEFinalDivisionClosure	NumStability/Algorithms/Ch14GJEFinalDivisionClosure.lean	98dfd2e5bd566d8b656cbd78244899e61d6e5366	unclassified	noncanonical_modules;unclassified_modules	14	relocate_whole	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GJEOperationalBridge	NumStability/Algorithms/Ch14GJEOperationalBridge.lean	2ab2bc8b0674aab2862570abe7fc22fa113661a8	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	NumStability/Algorithms/Ch14GJEPrintedEnvelopeClosure.lean	aeaec94bd720699d67928780b96c60984edc05a4	unclassified	noncanonical_modules;unclassified_modules	22	relocate_whole	NumStability.Source.Higham.Chapter14.Theorem05.PrintedEnvelopes.CorrectionBounds	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GJESourceAccumulationBridge	NumStability/Algorithms/Ch14GJESourceAccumulationBridge.lean	677e2ec0f565e616e9d809a84f8e8b49f9a0ebe8	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GJETheorem145SourceClosure	NumStability/Algorithms/Ch14GJETheorem145SourceClosure.lean	b7554d8c0364a1d2106971fe681600c2bd44c252	unclassified	noncanonical_modules;unclassified_modules	7	relocate_whole	NumStability.Source.Higham.Chapter14.Theorem05.PrintedTrace.VanishingEndpoints	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GaussJordanAccumulation	NumStability/Algorithms/Ch14GaussJordanAccumulation.lean	f2c16790f645c66c2bda59e69d7189dc9826cccb	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GaussJordanQConstruction	NumStability/Algorithms/Ch14GaussJordanQConstruction.lean	0424ff9e0d1f83a34d1581ec39516fa99fb7a8dd	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GaussJordanSPDCorollary	NumStability/Algorithms/Ch14GaussJordanSPDCorollary.lean	ae67321f9896ebc440f9e1258d9fb501e4a26577	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GaussJordanSourceClosure	NumStability/Algorithms/Ch14GaussJordanSourceClosure.lean	d9161b8eab0e6cedb007b60f5f512b93720b890d	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14GaussJordanStep	NumStability/Algorithms/Ch14GaussJordanStep.lean	add38979e062c2cd5f3ce8295196491762ef6595	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	remove inert open declarations only; preserve all imports byte-for-byte	declaration-free compatibility registration; no declaration route	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Method1BWhole	NumStability/Algorithms/Ch14Method1BWhole.lean	66cc390e7e436c3977080b4a0b950e9ee096d359	unclassified	noncanonical_modules;unclassified_modules	7	relocate_whole	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockResidual.WholeMatrixBounds	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
NumStability.Algorithms.Ch14Method2C	NumStability/Algorithms/Ch14Method2C.lean	b7bf2e1ec94c931a24d3771355d88977df6c0ee0	unclassified	noncanonical_modules;unclassified_modules	4	relocate_whole	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2C.BlockResidual.LeftResidualBounds	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	existing shim imports are frozen; destination import floor and DAG are hash-pinned	frozen_before_activation
