module	tier	reason
NumStability.Source.Higham.Chapter16.Foundations.Core	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.AutomaticBounds.Results.Core	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16AutoCondition	compatibility	owner becomes declaration-free wrapper
NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	compatibility	declaration-free legacy wrapper classified in place
NumStability.Source.Higham.Chapter16.HessenbergSchur.Rounded	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter16.HessenbergSchur.Results	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	compatibility	owner becomes declaration-free wrapper
NumStability.Algorithms.Sylvester.Higham16Lyapunov	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	compatibility	declaration-free legacy wrapper classified in place
NumStability.Source.Higham.Chapter16.Minimizers.Results	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16Minimizers	compatibility	owner becomes declaration-free wrapper
NumStability.Algorithms.Sylvester.Higham16NormEstimator	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	compatibility	declaration-free legacy wrapper classified in place
NumStability.Source.Higham.Chapter16.Problem02.Results.Core	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16Problem16_2	compatibility	owner becomes declaration-free wrapper
NumStability.Algorithms.Sylvester.Higham16Psi	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	compatibility	declaration-free legacy wrapper classified in place
NumStability.Source.Higham.Chapter16.QuasiRounded.Solve	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter16.QuasiRounded.Sylvester	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	compatibility	owner becomes declaration-free wrapper
NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.Higham16RoundedTriangular	compatibility	declaration-free legacy wrapper classified in place
NumStability.Source.Higham.Chapter16.Spectrum.Results	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16Spectrum	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter16.Spectrum.Minimizers	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16SpectrumMinimizers	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter16.VecNorm.Results	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16VecNorm	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter16.VecPermutation.Notes	source	new canonical destination
NumStability.Algorithms.Sylvester.Higham16VecPermutationNotes	compatibility	owner becomes declaration-free wrapper
NumStability.Algorithms.Sylvester.SylvesterBackward	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.SylvesterPerturbation	compatibility	declaration-free legacy wrapper classified in place
NumStability.Algorithms.Sylvester.SylvesterSpec	compatibility	declaration-free legacy wrapper classified in place
NumStability.Analysis.InverseOpNorm2	compatibility	declaration-free legacy wrapper classified in place
NumStability.Analysis.RealInvariantSubspace	compatibility	declaration-free legacy wrapper classified in place
NumStability.Analysis.RealQuasiSchur	compatibility	declaration-free legacy wrapper classified in place
NumStability.Analysis.RealSchurTriangulation	compatibility	declaration-free legacy wrapper classified in place
NumStability.Analysis.SchurTriangulation	compatibility	declaration-free legacy wrapper classified in place
NumStability.Analysis.MatrixEquations.SylvesterExistence	per-imports at delivery (source if it imports Source, else reusable)	new canonical destination
NumStability.Analysis.SylvesterSchurExistence	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter09.Theorem14.Actual	source	new canonical destination
NumStability.Source.Higham.Chapter09.Theorem914Actual	compatibility	owner becomes declaration-free wrapper
NumStability.Source.Higham.Chapter09.Theorem14.DiagDominant	source	new canonical destination
