consumer_module	consumer_path	consumer_scope	old_import	new_import
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.MatrixPowers	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.MatrixPowersComplex	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.MatrixPowersJordan	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.MatrixPowersLp	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.MatrixPowersLpJordan	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.MatrixPowersPseudospectral	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.MatrixPowersPseudospectralCriterion	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.MatrixPowersSpectral	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.BergerGeneral	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.BergerInequality	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.BergerResolvent	NumStability.Analysis.LinearOperators.NumericalRadius.Berger.GeneralPowerInequality
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.DunfordResidue	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.HenriciExtremal	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.HenriciSharpConstant	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.HenriciSharpConstantExact	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.JordanNormalForm	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersBaiDemmelGu	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersBinomialBound	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.SchurBinomialBounds
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersGautschi	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersHenrici	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersHenriciNormal	NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersKreiss	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersKreissSpijker	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersLaszlo	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersLp185Primary	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersSchur	NumStability.Analysis.LinearOperators.MatrixPowers.ExactNormBounds.NormalMatrices;NumStability.Analysis.LinearOperators.MatrixPowers.Henrici.NormalCharacterization;NumStability.Analysis.LinearOperators.Schur.Complex.NormalTriangular
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersSpijkerClosure	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.FiniteDimensionalPowerBounds;NumStability.Source.Higham.Chapter18.Section01.MatrixPowerBounds.NamedBounds.SpijkerKreissUnconditional
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersSpijkerPlanar	NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.PlanarCrossingBounds
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.MatrixPowersSpijkerRational	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.NilpotentJordanChain	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.NumericalRadius	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.PseudospectralLowerBound	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.PseudospectralPowerBound	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.PseudospectralResolvent	-
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Analysis.ResolventFunctionalCalculus	-
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean	selected_owner	NumStability.Algorithms.MatrixPowersJordan	NumStability.Algorithms.MatrixPowersJordan
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean	selected_owner	NumStability.Algorithms.MatrixPowers	NumStability.Algorithms.MatrixPowers
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean	selected_owner	NumStability.Algorithms.MatrixPowersComplex	NumStability.Algorithms.MatrixPowersComplex
