module	role	import
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	Mathlib.Analysis.Asymptotics.Lemmas
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Algorithms.Ch14ForwardErrorEndpoint
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem05.InverseBasedSolve.AsymptoticFamilies
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.AsymptoticFamilies
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1.AsymptoticFamilies
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Algebra.BigOperators.Fin
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Algebra.BigOperators.Group.Finset.Basic
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Algebra.BigOperators.Ring.Finset
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Data.Real.Basic
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Tactic.Linarith
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Tactic.Ring
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Algorithms.DotProduct
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Algorithms.LinearSystems.Triangular.ForwardSubstitution
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Algorithms.MatrixInversion
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Analysis.MatrixAlgebra
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Analysis.Rounding
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.FloatingPoint.Model
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockTriInverse
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147SourceClosure
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEFinalDivisionClosure
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Source.Higham.Chapter07.Corollary06.LinearSystemsConditioning.Results
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary06.SPD.UniformInverseBridge
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147SourceClosure
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEFinalDivisionClosure
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.FinalDivisionFamilyClosure
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	compatibility-shim	NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	compatibility-shim	NumStability.Algorithms.LinearSystems.Cholesky.Perturbation.Basic
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	compatibility-shim	NumStability.Source.Higham.Chapter09.Theorem99Closure
NumStability.Algorithms.Ch14Cor147SourceDomainConstructor	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.SourceDomainConstructor
NumStability.Algorithms.Ch14Corollary146Closure	compatibility-shim	Mathlib.Analysis.Asymptotics.Lemmas
NumStability.Algorithms.Ch14Corollary146Closure	compatibility-shim	NumStability.Algorithms.Ch14Corollary146Concrete
NumStability.Algorithms.Ch14Corollary146Closure	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanQConstruction
NumStability.Algorithms.Ch14Corollary146Closure	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Closure
NumStability.Algorithms.Ch14Corollary146Concrete	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanQConstruction
NumStability.Algorithms.Ch14Corollary146Concrete	compatibility-shim	NumStability.Algorithms.Ch14GaussJordanSPDCorollary
NumStability.Algorithms.Ch14Corollary146Concrete	compatibility-shim	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Concrete
NumStability.Algorithms.Ch14Corollary146SourceClosure	compatibility-shim	NumStability.Algorithms.Ch14Corollary146Closure
