module	tier	reason
NumStability.Algorithms.Ch10ActualSourceClosure	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Ch10KahanSharpnessSource	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Ch10Theorem108Componentwise	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Ch10Theorem108Source	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Cholesky.CholeskyDemmel	reusable	reviewed reusable owner retained in place
NumStability.Algorithms.Cholesky.CholeskyFl	reusable	reviewed reusable owner retained in place
NumStability.Algorithms.Cholesky.CholeskyNonsym	reusable	reviewed reusable owner retained in place
NumStability.Algorithms.Cholesky.CholeskyPSD	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Cholesky.CholeskySpec	reusable	reviewed reusable owner retained in place
NumStability.Algorithms.Cholesky.Higham1014Equation1022	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Cholesky.Higham1014SourceError	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Cholesky.Higham1029Source	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.Cholesky.HighamMathiasSource	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.HighamChapter10	compatibility	historical Algorithm path is import-only after the wave
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	reusable	new casefold-vacant semantic declaration destination
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanTelescope.Identity	reusable	new casefold-vacant semantic declaration destination
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence	reusable	new casefold-vacant semantic declaration destination
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.StageEmbedding.InteriorMass	reusable	new casefold-vacant semantic declaration destination
NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	reusable	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter06.Lemma06	aggregate	declarations evacuate to a new child; historical source path becomes aggregate
NumStability.Source.Higham.Chapter06.Lemma06.Core.Results	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.OperatorNorm.SourceBound	source	new casefold-vacant semantic declaration destination
NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.UnboundedGrowth.Construction	source	new casefold-vacant semantic declaration destination
