old_private	new_private	destination_module
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.geom_partial_sum_le	_private.NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds.0.NumStability.geom_partial_sum_le	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_left	_private.NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange.0.NumStability.matMul_matSub_id_left	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_matSub_id	_private.NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange.0.NumStability.matMul_matSub_id_matSub_id	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_right	_private.NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange.0.NumStability.matMul_matSub_id_right	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residualSigmaTsum_entry_le_of_real_diagonalization	_private.NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds.0.NumStability.residualSigmaTsum_entry_le_of_real_diagonalization	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_geometric_partial_le_ratio	_private.NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds.0.NumStability.residual_geometric_partial_le_ratio	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residual_term_entry_abs_le_of_real_diagonalization	_private.NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds.0.NumStability.residual_term_entry_abs_le_of_real_diagonalization	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.singularErrorSourceTerm_term_eq	_private.NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds.0.NumStability.singularErrorSourceTerm_term_eq	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds
_private.NumStability.Analysis.SemiconvergentBlockFormExists.0.NumStability.commute_self_sub_one	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.TriangularBlockForm.0.NumStability.commute_self_sub_one	NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.TriangularBlockForm
_private.NumStability.Analysis.SemiconvergentBlockFormExists.0.NumStability.pow_apply_sub_one_pow	_private.NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.TriangularBlockForm.0.NumStability.pow_apply_sub_one_pow	NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.TriangularBlockForm
