declaration	owner_module	visibility	selected_owner	closure_role
NumStability.Ch15.IsBoydConcreteSourceStrongLocalMaximum.hasActualSecondDerivativeGap	NumStability.Algorithms.HighamChapter15BoydSourceClosure	public	yes	reverse_dependent
NumStability.Ch15.boydConstrainedLagrangianFirst_hasDerivAt	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	public	yes	reverse_dependent
NumStability.Ch15.boydConstrainedLagrangianFirst_hasDerivAt_rowwise_source_domain	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	public	yes	reverse_dependent
NumStability.Ch15.boydConstrainedLagrangianLine_hasDerivAt	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	public	yes	reverse_dependent
NumStability.Ch15.boydConstrainedSecondVariation_is_second_derivative	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	public	yes	reverse_dependent
NumStability.Ch15.boydConstrainedSecondVariation_is_second_derivative_rowwise_source_domain	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	public	yes	reverse_dependent
NumStability.Ch15.boydScalar_basis_mem_carrier	NumStability.Algorithms.HighamChapter15BoydScalar	public	yes	reverse_dependent
NumStability.Ch15.boydScalar_carrier_eq_basis	NumStability.Algorithms.HighamChapter15BoydScalar	public	yes	reverse_dependent
NumStability.Ch15.boydScalar_xnext_basis_eq	NumStability.Algorithms.HighamChapter15BoydScalar	public	yes	reverse_dependent
NumStability.Ch15.boydScalar_xnext_basis_nonneg	NumStability.Algorithms.HighamChapter15BoydScalar	public	yes	reverse_dependent
NumStability.Ch15.boydScalar_xseq_basis_eq	NumStability.Algorithms.HighamChapter15BoydScalar	public	yes	reverse_dependent
NumStability.Ch15.boydScalar_zof_basis_nonneg	NumStability.Algorithms.HighamChapter15BoydScalar	public	yes	reverse_dependent
NumStability.Ch15.higham15_boyd_global_of_nonnegative_irreducibleGram_all_dimensions	NumStability.Algorithms.HighamChapter15BoydScalar	public	yes	reverse_dependent
NumStability.Ch15.higham15_boyd_global_scalar	NumStability.Algorithms.HighamChapter15BoydScalar	public	yes	reverse_dependent
NumStability.Ch15.higham15_boyd_source_linear_of_strongLocalMaximum_subsequentialLimit	NumStability.Algorithms.HighamChapter15BoydSourceClosure	public	yes	reverse_dependent
NumStability.Ch15.linpackD_isPlusMinusOne	NumStability.Algorithms.Ch15CondEstimators	public	yes	reverse_dependent
NumStability.Ch15.linpackY_infNorm_le_infNorm_inv	NumStability.Algorithms.Ch15CondEstimators	public	yes	reverse_dependent
NumStability.Ch15.linpackY_infNorm_le_infNorm_inv_nonsingular	NumStability.Algorithms.Ch15CondEstimators	public	yes	reverse_dependent
NumStability.Ch15.rect_general_boyd_concrete_source_local_linear	NumStability.Algorithms.HighamChapter15BoydSourceClosure	public	yes	reverse_dependent
NumStability.Ch15.rect_general_boyd_concrete_source_local_linear_uniform	NumStability.Algorithms.HighamChapter15BoydSourceClosure	public	yes	reverse_dependent
NumStability.Ch15Closure.H15_Theorem15_7_of_absLU_eq	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	public	yes	reverse_dependent
NumStability.Ch15Closure.H15_Theorem15_8_of_rowDiagDominant	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	public	yes	reverse_dependent
NumStability.Ch15IkebeClosure.H15_Theorem15_9_of_irreducible_rightInverse	NumStability.Algorithms.LU.TridiagonalCondCh15IkebeClosure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.H15_Problem15_6_of_irreducible_rightInverse	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.H15_Problem15_6_operational_of_irreducible_rightInverse	NumStability.Algorithms.LU.Higham15Problem15_6Operational	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.absInvMul_correct	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.backward_column_scaled	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.backward_row_scaled	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.forward_column_scaled	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.forward_row_scaled	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.infNorm_correct	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.lower_factorization	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.p_correct	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.problem15_6_absInvMulOperational_correct	NumStability.Algorithms.LU.Higham15Problem15_6Operational	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.problem15_6_infNormOperational_correct	NumStability.Algorithms.LU.Higham15Problem15_6Operational	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.qResidual_ne	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.qResidual_scaled	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.q_correct	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.tridiag_mulVec_entry	NumStability.Algorithms.LU.Higham15Problem15_6	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.tridiag_vecMul_entry	NumStability.Algorithms.LU.Higham15Problem15_6	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.upper_factorization	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.x_correct	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.yResidual_ne	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.yResidual_scaled	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.Higham15Problem15_6.y_correct	NumStability.Algorithms.LU.Higham15Problem15_6Closure	public	yes	reverse_dependent
NumStability.RectPNormPair.higham15_rectangular_infinity_counterexample_stops_at_four	NumStability.Algorithms.HighamChapter15RectTermination	public	yes	reverse_dependent
NumStability.RectPNormPair.higham15_rectangular_infinity_n_plus_one_source_discrepancy	NumStability.Algorithms.HighamChapter15RectTermination	public	yes	reverse_dependent
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_solves	NumStability.Algorithms.Ch15CondEstimators	private	yes	private_seed
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_stable	NumStability.Algorithms.Ch15CondEstimators	private	yes	private_seed
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.linpackYSteps_value_at	NumStability.Algorithms.Ch15CondEstimators	private	yes	private_seed
_private.NumStability.Algorithms.Ch15CondEstimators.0.NumStability.Ch15.matMulVec_upperTri_split	NumStability.Algorithms.Ch15CondEstimators	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.boyd_weight_exponents_cancel	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.hasDerivAt_abs_rpow_affine	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15BoydConcreteLemma3.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine	NumStability.Algorithms.HighamChapter15BoydConcreteLemma3	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15BoydScalar.0.NumStability.Ch15.scalarBasis	NumStability.Algorithms.HighamChapter15BoydScalar	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_ne	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative.0.NumStability.Ch15.hasDerivAt_gradientFactor_affine_of_two_le	NumStability.Algorithms.HighamChapter15BoydSourceSecondDerivative	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX1	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX2	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX3	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleX4	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY0	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY1	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY2	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY3	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleY4	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ0	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ1	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ2	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ3	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexampleZ4	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x0	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x1	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x2	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x3	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_argmax_x4	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x0	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x1	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x2	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_not_stops_x3	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_stops_x4	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x0	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x1	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x2	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xnext_x3	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_four	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_one	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_three	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_two	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_xseq_zero	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x0	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x1	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x2	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x3	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_yof_x4	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x0	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x1	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x2	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x3	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.HighamChapter15RectTermination.0.NumStability.RectPNormPair.infinityNPlusOneCounterexample_zof_x4	NumStability.Algorithms.HighamChapter15RectTermination	private	yes	private_seed
_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.sum_nested_ite_three	NumStability.Algorithms.LU.Higham15Problem15_6	private	yes	private_seed
_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.sum_nested_ite_two	NumStability.Algorithms.LU.Higham15Problem15_6	private	yes	private_seed
_private.NumStability.Algorithms.LU.Higham15Problem15_6.0.NumStability.Higham15Problem15_6.upper_corner_ne	NumStability.Algorithms.LU.Higham15Problem15_6	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_LU_diag_rel	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_LU_sub_eq	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_LU_super_eq	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_Linv_rec	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_Uinv_rec	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_absLU_diag	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_abs_sum_of_pairwise_nonneg	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_bidiag_U_isDiagDominantUpper	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_bidiag_rowSum_bound	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_diag_sign	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_filter_lower_succ	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_filter_upper_succ	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_nonneg_of_abs_add_eq	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_row_offdiag_le	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_row_two_offdiag_le	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_t_pairwise_ge	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_t_recurrence	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
_private.NumStability.Algorithms.LU.TridiagonalCondCh15Closure.0.NumStability.Ch15Closure.c15_tridiag_rowDom_U_super_le_diag	NumStability.Algorithms.LU.TridiagonalCondCh15Closure	private	yes	private_seed
