owner_module	path	declaration_count	destination_modules	compatibility_action	review_status
NumStability.Algorithms.StationaryIteration	NumStability/Algorithms/StationaryIteration.lean	29	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange;NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds;NumStability.Source.Higham.Chapter17.Results.Equation27.SingularErrorSplit;NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.StationaryIterationDrazin	NumStability/Algorithms/StationaryIterationDrazin.lean	41	NumStability.Source.Higham.Chapter17.Results.Section04.DrazinConsequences	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.StationaryIterationRounded	NumStability/Algorithms/StationaryIterationRounded.lean	16	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Execution.RoundedCertificates;NumStability.Source.Higham.Chapter17.Results.Section01.RoundedExecution	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability/Algorithms/StationaryIterationSemiconvergent.lean	20	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.ProjectorLimit;NumStability.Source.Higham.Chapter17.Results.Equation27.SingularErrorSplit	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability/Algorithms/StationaryIterationSemiconvergentExistence.lean	10	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.BlockForm.Existence;NumStability.Source.Higham.Chapter17.Results.Equation27.SingularErrorSplit	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Analysis.SemiconvergentBlockFormExists	NumStability/Analysis/SemiconvergentBlockFormExists.lean	27	NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.TriangularBlockForm	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Analysis.SemiconvergentExistenceComplete	NumStability/Analysis/SemiconvergentExistenceComplete.lean	29	NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.PrimarySplitting	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Analysis.SemiconvergentExistenceFull	NumStability/Analysis/SemiconvergentExistenceFull.lean	5	NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.QuasiTriangularBlockForm	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Analysis.SemiconvergentLimitGeneral	NumStability/Analysis/SemiconvergentLimitGeneral.lean	23	NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.Limits.General	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Analysis.SemiconvergentRealSpectrumComplete	NumStability/Analysis/SemiconvergentRealSpectrumComplete.lean	9	NumStability.Analysis.LinearOperators.MatrixPowers.Semiconvergence.Limits.RealSpectrum	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Source.Higham.Chapter17.Equation08	NumStability/Source/Higham/Chapter17/Equation08.lean	2	NumStability.Source.Higham.Chapter17.Results.Equation08.GeometricSummability	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Source.Higham.Chapter17.Equation12	NumStability/Source/Higham/Chapter17/Equation12.lean	13	NumStability.Source.Higham.Chapter17.Results.Equation12.AttainedPartialSumBound	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Source.Higham.Chapter17.Equation15	NumStability/Source/Higham/Chapter17/Equation15.lean	1	NumStability.Source.Higham.Chapter17.Results.Equation15.UniformForwardBound	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Source.Higham.Chapter17.Equation16	NumStability/Source/Higham/Chapter17/Equation16.lean	1	NumStability.Source.Higham.Chapter17.Results.Equation16.JacobiForwardBound	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Source.Higham.Chapter17.Equation17	NumStability/Source/Higham/Chapter17/Equation17.lean	2	NumStability.Source.Higham.Chapter17.Results.Equation17.SORForwardBound	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Source.Higham.Chapter17.Equation20	NumStability/Source/Higham/Chapter17/Equation20.lean	15	NumStability.Source.Higham.Chapter17.Results.Equation20.ResidualSigmaEnvelope	move all frozen declarations to the exact listed destinations; replace historical owner with documented import-only wrapper	approved_before_activation
