consumer_module	consumer_path	consumer_scope	old_import	new_import
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Ch10ActualSourceClosure	NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ForwardError.ActualAlgorithm
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.OperatorNorm.SourceBound
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualComputation.ErrorBounds
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Ch10Theorem108Componentwise	NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.NormalizedResolvent.SourceBound
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Ch10Theorem108Source	NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.Counterexample.Uniqueness
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.CholeskyDemmel	NumStability.Algorithms.Cholesky.CholeskyDemmel
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.CholeskyFl	NumStability.Algorithms.Cholesky.CholeskyFl
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.CholeskyNonsym	NumStability.Algorithms.Cholesky.CholeskyNonsym
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence;NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results;NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.ConstructiveFactorization.Existence;NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.QuadraticFormBounds.WeightedNorm;NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.TrailingTermination.Bound;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.Algorithms.Cholesky.CholeskySpec
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.Higham1014Equation1022	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SchurPerturbation.Family
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.Higham1014SourceError	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RankSensitiveError.Bounds
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.Higham1029Source	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.LUGrowth.Equation29
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Cholesky.HighamMathiasSource	NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.HighamChapter10	NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate;NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanTelescope.Identity;NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.StageEmbedding.InteriorMass;NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds;NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.UnboundedGrowth.Construction;NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth.PositivePivots.Bounds;NumStability.Source.Higham.Chapter10.Section01.Factorization.ExistenceUniqueness.Results;NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis.FactorizationAndSolve.Bounds;NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.PivotingAndScaling.Results;NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.SchurStages.Bounds;NumStability.Source.Higham.Chapter10.Theorem07.SuccessThreshold.Factorization;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SuccessfulRun.StageBounds
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Source.Higham.Chapter06.Lemma06	NumStability.Source.Higham.Chapter06.Lemma06
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability/Algorithms/Ch10Ch14Lemma66Op2Bridge.lean	outside	NumStability.Algorithms.HighamChapter10	NumStability.Algorithms.HighamChapter10
NumStability.Algorithms.Ch10Ch14Lemma66Op2Bridge	NumStability/Algorithms/Ch10Ch14Lemma66Op2Bridge.lean	outside	NumStability.Source.Higham.Chapter06.Lemma06	NumStability.Source.Higham.Chapter06.Lemma06
NumStability.Algorithms.Ch10KahanSharpness	NumStability/Algorithms/Ch10KahanSharpness.lean	outside	NumStability.Algorithms.HighamChapter10	NumStability.Algorithms.HighamChapter10
NumStability.Algorithms.Ch10Lemma1011Source	NumStability/Algorithms/Ch10Lemma1011Source.lean	outside	NumStability.Algorithms.HighamChapter10	NumStability.Algorithms.HighamChapter10
NumStability.Algorithms.Chapter06Lemma66	NumStability/Algorithms/Chapter06Lemma66.lean	outside	NumStability.Source.Higham.Chapter06.Lemma06	NumStability.Source.Higham.Chapter06.Lemma06
NumStability.Algorithms.Cholesky.BunchTridiagonalCapstoneCh11Closure	NumStability/Algorithms/Cholesky/BunchTridiagonalCapstoneCh11Closure.lean	outside	NumStability.Source.Higham.Chapter11.Theorem07	NumStability.Source.Higham.Chapter11.Theorem07
NumStability.Algorithms.Cholesky.CholeskyPerturbation	NumStability/Algorithms/Cholesky/CholeskyPerturbation.lean	outside	NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.Algorithms.Cholesky.CholeskySpec
NumStability.Algorithms.Cholesky.CholeskySolve	NumStability/Algorithms/Cholesky/CholeskySolve.lean	outside	NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.Algorithms.Cholesky.CholeskySpec
NumStability.Algorithms.Cholesky.Higham1014SourceSuccess	NumStability/Algorithms/Cholesky/Higham1014SourceSuccess.lean	outside	NumStability.Source.Higham.Chapter10.Theorem07	NumStability.Source.Higham.Chapter10.Theorem07
NumStability.Algorithms.Cholesky.Higham10Theorem10_7Source	NumStability/Algorithms/Cholesky/Higham10Theorem10_7Source.lean	outside	NumStability.Source.Higham.Chapter10.Theorem07	NumStability.Source.Higham.Chapter10.Theorem07
NumStability.Algorithms.Cholesky.HighamMathiasFirstBreakdown	NumStability/Algorithms/Cholesky/HighamMathiasFirstBreakdown.lean	outside	NumStability.Algorithms.Cholesky.Higham1029Source	NumStability.Algorithms.Cholesky.Higham1029Source
NumStability.Algorithms.LeastSquares.Higham20Remaining	NumStability/Algorithms/LeastSquares/Higham20Remaining.lean	outside	NumStability.Algorithms.HighamChapter10	NumStability.Algorithms.HighamChapter10
NumStability.Algorithms.LeastSquares.LSNormalEquations	NumStability/Algorithms/LeastSquares/LSNormalEquations.lean	outside	NumStability.Algorithms.Cholesky.CholeskySpec	NumStability.Algorithms.Cholesky.CholeskySpec
NumStability.Higham.Chapter10.Theorem10_7	NumStability/Higham/Chapter10/Theorem10_7.lean	outside	NumStability.Source.Higham.Chapter10.Theorem07	NumStability.Source.Higham.Chapter10.Theorem07
NumStability.Higham.Chapter11.Theorem11_7Capstone	NumStability/Higham/Chapter11/Theorem11_7Capstone.lean	outside	NumStability.Source.Higham.Chapter11.Theorem07	NumStability.Source.Higham.Chapter11.Theorem07
NumStability.Source.Higham.Chapter06	NumStability/Source/Higham/Chapter06.lean	outside	NumStability.Source.Higham.Chapter06.Lemma06	NumStability.Source.Higham.Chapter06.Lemma06
NumStability.Source.Higham.Chapter06.Lemma06.OperatorTwoNormBound.Bridge	NumStability/Source/Higham/Chapter06/Lemma06/OperatorTwoNormBound/Bridge.lean	outside	NumStability.Source.Higham.Chapter06.Lemma06	NumStability.Source.Higham.Chapter06.Lemma06.Core.Results
