owner_module	path	base_blob_oid	current_tier	debt_flags	declaration_count	semantic_classification	destination_modules	compatibility_action	split_rationale	dependency_rationale	review_status
NumStability.Algorithms.Sylvester.Higham16	NumStability/Algorithms/Sylvester/Higham16.lean	b5dacba7a235e36597cb98ff57442d81bc690b77	unclassified	noncanonical_modules;unclassified_modules	138	relocate_whole	NumStability.Source.Higham.Chapter16.Foundations.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16AutoCondition	NumStability/Algorithms/Sylvester/Higham16AutoCondition.lean	f74258798018d267d337ea780f442c67ca8b7d18	unclassified	noncanonical_modules;unclassified_modules	8	relocate_whole	NumStability.Source.Higham.Chapter16.Section03.PerturbationAndConditioning.AutomaticBounds.Results.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16Eq9Assembly	NumStability/Algorithms/Sylvester/Higham16Eq9Assembly.lean	c299a7d5afe95adb1bd2bd2c1061bee22ca94946	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16Eq9EndToEnd	NumStability/Algorithms/Sylvester/Higham16Eq9EndToEnd.lean	41aa4029baf49393ee21b42d34b340efbf46481e	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16HessenbergRounded	NumStability/Algorithms/Sylvester/Higham16HessenbergRounded.lean	b488dae0db2403943b12674a7e744ae82c5a828d	unclassified	noncanonical_modules;unclassified_modules	2	relocate_whole	NumStability.Source.Higham.Chapter16.HessenbergSchur.Rounded	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16HessenbergSchur	NumStability/Algorithms/Sylvester/Higham16HessenbergSchur.lean	68a260f260779d46da1de8ad90cce3627a567572	unclassified	noncanonical_modules;unclassified_modules	34	relocate_whole	NumStability.Source.Higham.Chapter16.HessenbergSchur.Results	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16Lyapunov	NumStability/Algorithms/Sylvester/Higham16Lyapunov.lean	dbffa2215f655adc4d80f0f8a294f9513b6bae0f	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16LyapunovSigmaMin	NumStability/Algorithms/Sylvester/Higham16LyapunovSigmaMin.lean	1e0102d81729ac8136cf367ce54ae1073a95060e	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16Minimizers	NumStability/Algorithms/Sylvester/Higham16Minimizers.lean	a0697fb0bdf55d39857e06fd332c45b116e0b2d7	unclassified	noncanonical_modules;unclassified_modules	194	relocate_whole	NumStability.Source.Higham.Chapter16.Minimizers.Results	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16NormEstimator	NumStability/Algorithms/Sylvester/Higham16NormEstimator.lean	f3c988ac44245d53784dcbddab1f484846a12e66	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16PerturbationSigmaMin	NumStability/Algorithms/Sylvester/Higham16PerturbationSigmaMin.lean	29b42e5c96cc7389ad45ad9e573aa305e8c54d4e	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16PivotedSmallBlocks	NumStability/Algorithms/Sylvester/Higham16PivotedSmallBlocks.lean	9c8ac97a35c27a92850fefeaa6d8849cd35cf021	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16Problem16_2	NumStability/Algorithms/Sylvester/Higham16Problem16_2.lean	07821f7f6f90abcf414705a6e047956a88ef10cc	unclassified	noncanonical_modules;unclassified_modules	34	relocate_whole	NumStability.Source.Higham.Chapter16.Problem02.Results.Core	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16Psi	NumStability/Algorithms/Sylvester/Higham16Psi.lean	440546b783cdebe2ce7cccb87c2c11bcbf1e6382	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16PsiSigmaMin	NumStability/Algorithms/Sylvester/Higham16PsiSigmaMin.lean	f40af62fba75db278df2ce7342ab10c0f935a265	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiRounded	NumStability/Algorithms/Sylvester/Higham16QuasiQuasiRounded.lean	f47406d22962bd3beaa303cb73861e0ffda74088	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16QuasiQuasiSylvester	NumStability/Algorithms/Sylvester/Higham16QuasiQuasiSylvester.lean	cd30554635096d65c778f3c9255bd432dc42b6d7	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSolve	NumStability/Algorithms/Sylvester/Higham16QuasiRoundedSolve.lean	87f0de7488958a8073c6ee212d2dfe512f709ed0	unclassified	noncanonical_modules;unclassified_modules	7	relocate_whole	NumStability.Source.Higham.Chapter16.QuasiRounded.Solve	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16QuasiRoundedSylvester	NumStability/Algorithms/Sylvester/Higham16QuasiRoundedSylvester.lean	622027a9b87008f1dcd03f93ad9cf4236cb50dad	unclassified	noncanonical_modules;unclassified_modules	16	relocate_whole	NumStability.Source.Higham.Chapter16.QuasiRounded.Sylvester	owner becomes declaration-free compatibility wrapper importing destination	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
NumStability.Algorithms.Sylvester.Higham16RoundedExecutor	NumStability/Algorithms/Sylvester/Higham16RoundedExecutor.lean	5e398fcf8abdee63cac75558f6e8b9c722467082	unclassified	noncanonical_modules;unclassified_modules	0	classify_compatibility	-	declaration-free legacy module classified compatibility tier in place	whole-owner route; no declaration split	destination keeps the owner's full original import surface	proposed
