baseline_owner_module	baseline_declaration_name	visibility	kind	baseline_order	destination_module	route_class	normalization_decision
NumStability.Algorithms.Ch10ActualSourceClosure	NumStability.higham10_6_actual_source_closed	public	theorem	0	NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ForwardError.ActualAlgorithm	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_SourceGETrace	public	definition	0	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_SourceSchurDiagonalRep	public	definition	1	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_SourceUpperEntryRep	public	definition	2	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_complexPositiveDefinite_GE_backward_error_source	public	theorem	3	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_complexPositiveDefinite_exists_noPivotLU	public	theorem	4	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_complexPositiveDefinite_exists_noPivotLU_growth_lt_three	public	theorem	5	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_complexPositiveDefinite_growth_lt_three	public	theorem	6	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_complexPositiveDefinite_sourceGETrace	public	theorem	7	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_complexQuadForm_im	public	theorem	8	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_complexQuadForm_re	public	theorem	9	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_complex_entry_norm_le_max_diagonal	public	theorem	10	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability.higham10_30_det_ne_zero_of_real_spd	public	theorem	11	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	relocate_whole	-
