from_destination	to_destination	signature_edges	body_edges
NumStability.Algorithms.Cholesky.CholeskyDemmel	NumStability.Algorithms.Cholesky.CholeskySpec	0	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	NumStability.Algorithms.Cholesky.CholeskyFl	0	1
NumStability.Algorithms.LinearSystems.Cholesky.ErrorAnalysis.PositivePivots.Certificate	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.StageEmbedding.InteriorMass	0	1
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence	NumStability.Algorithms.Cholesky.CholeskySpec	0	1
NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.StageEmbedding.InteriorMass	NumStability.Algorithms.Cholesky.CholeskyNonsym	0	2
NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	NumStability.Algorithms.Cholesky.CholeskyNonsym	0	4
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Algorithms.Cholesky.CholeskySpec	0	1
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.LUGrowth.Equation29	0	1
NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.SchurStages.Bounds	0	1
NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.OperatorNorm.SourceBound	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.KahanTelescope.Identity	0	1
NumStability.Source.Higham.Chapter10.Problem04.UnpivotedGrowth.PositivePivots.Bounds	NumStability.Algorithms.Cholesky.CholeskySpec	0	2
NumStability.Source.Higham.Chapter10.Section01.Factorization.ExistenceUniqueness.Results	NumStability.Algorithms.Cholesky.CholeskySpec	0	2
NumStability.Source.Higham.Chapter10.Section02.ErrorAnalysis.FactorizationAndSolve.Bounds	NumStability.Algorithms.Cholesky.CholeskyFl	0	3
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.ConstructiveFactorization.Existence	NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results	0	3
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.PivotingAndScaling.Results	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence	0	1
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.PivotingAndScaling.Results	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.ConstructiveFactorization.Existence	0	2
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.PivotingAndScaling.Results	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.QuadraticFormBounds.WeightedNorm	0	2
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.QuadraticFormBounds.WeightedNorm	NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results	0	1
NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.TrailingTermination.Bound	NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results	0	1
NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.LUGrowth.Equation29	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.SchurStages.Bounds	0	1
NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.SchurStages.Bounds	NumStability.Algorithms.Cholesky.CholeskyNonsym	0	1
NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.SchurStages.Bounds	NumStability.Algorithms.Cholesky.CholeskySpec	0	1
NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ForwardError.ActualAlgorithm	NumStability.Algorithms.Cholesky.CholeskyFl	0	1
NumStability.Source.Higham.Chapter10.Theorem07.Core.Results	NumStability.Algorithms.Cholesky.CholeskyFl	0	4
NumStability.Source.Higham.Chapter10.Theorem07.Core.Results	NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	0	1
NumStability.Source.Higham.Chapter10.Theorem07.SuccessThreshold.Factorization	NumStability.Algorithms.Cholesky.CholeskyDemmel	0	1
NumStability.Source.Higham.Chapter10.Theorem07.SuccessThreshold.Factorization	NumStability.Algorithms.Cholesky.CholeskyFl	0	1
NumStability.Source.Higham.Chapter10.Theorem07.SuccessThreshold.Factorization	NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	0	1
NumStability.Source.Higham.Chapter10.Theorem07.SuccessThreshold.Factorization	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SuccessfulRun.StageBounds	0	1
NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.Counterexample.Uniqueness	NumStability.Source.Higham.Chapter10.Section01.Factorization.ExistenceUniqueness.Results	0	1
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualComputation.ErrorBounds	NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results	0	1
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualComputation.ErrorBounds	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds	0	1
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RankSensitiveError.Bounds	NumStability.Algorithms.Cholesky.CholeskyFl	0	2
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds	NumStability.Algorithms.Cholesky.CholeskyFl	0	1
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds	NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results	0	1
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SchurPerturbation.Family	NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.PivotingAndScaling.Results	0	1
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SchurPerturbation.Family	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RankSensitiveError.Bounds	0	1
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SuccessfulRun.StageBounds	NumStability.Algorithms.Cholesky.CholeskyFl	0	4
NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SuccessfulRun.StageBounds	NumStability.Analysis.MatrixNorms.SpectralExtrema.PrincipalSubmatrices.Bounds	0	1
