declaration	owner_module	visibility	selected_owner	closure_role
NumStability.H16_eq16_29_sylvesterComputedResidualBudget_of_schur_frobenius_error_model	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_pos_le_sylvesterSepInf_computed_residual_certificate	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_pos_le_sylvesterSepInf_computed_residual_certificate_mono	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_pos_le_sylvesterSepInf_computed_residual_certificate_mono_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_pos_le_sylvesterSepInf_computed_residual_certificate_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_schur_transform_residual_bound	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_schur_transform_residual_bound_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_sepLowerBound_computed_residual_certificate	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_sepLowerBound_computed_residual_certificate_mono	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_sepLowerBound_computed_residual_certificate_mono_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_abs_error_bound_of_sepLowerBound_computed_residual_certificate_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_budget	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_budget_mono	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_budget_mono_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_budget_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_certificate	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_certificate_mono	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_certificate_mono_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_certificate_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_error_model	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_error_model_mono	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_error_model_mono_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_pos_le_sylvesterSepInf_computed_residual_error_model_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_budget	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_budget_mono	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_budget_mono_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_budget_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_certificate	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_certificate_mono	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_certificate_mono_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_certificate_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_error_model	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_error_model_mono	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_error_model_mono_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
NumStability.H16_eq16_29_sylvester_practical_error_bound_of_schurDiagonal_computed_residual_error_model_scalar	NumStability.Algorithms.Sylvester.Higham16	public	NumStability.Algorithms.Sylvester.Higham16	whole-owner component; no cross-destination split
