owner_module	path	declaration_count	destination_modules	compatibility_action	review_status
NumStability.Algorithms.LinearSystems.QR.HouseholderApplySupport	NumStability/Algorithms/LinearSystems/QR/HouseholderApplySupport.lean	101	NumStability.Algorithms.LinearSystems.QR.Householder.PanelApplication	move all frozen declarations to the exact listed destination; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LinearSystems.QR.HouseholderQRSupport	NumStability/Algorithms/LinearSystems/QR/HouseholderQRSupport.lean	132	NumStability.Algorithms.LinearSystems.QR.Householder.StoredQR	move all frozen declarations to the exact listed destination; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.LinearSystems.QR.HouseholderSpecSupport	NumStability/Algorithms/LinearSystems/QR/HouseholderSpecSupport.lean	112	NumStability.Algorithms.LinearSystems.QR.Householder.TrailingPanels	move all frozen declarations to the exact listed destination; replace historical owner with documented import-only wrapper	approved_before_activation
NumStability.Algorithms.QR.GivensMatrixStep	NumStability/Algorithms/QR/GivensMatrixStep.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.GivensQR	NumStability/Algorithms/QR/GivensQR.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.GivensSpec	NumStability/Algorithms/QR/GivensSpec.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.GramSchmidt	NumStability/Algorithms/QR/GramSchmidt.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.GramSchmidtPolar	NumStability/Algorithms/QR/GramSchmidtPolar.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19	NumStability/Algorithms/QR/Higham19.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Alg11CGSRounded	NumStability/Algorithms/QR/Higham19Alg11CGSRounded.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Alg12MGSClosure	NumStability/Algorithms/QR/Higham19Alg12MGSClosure.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Alg12MGSNonbreakdown	NumStability/Algorithms/QR/Higham19Alg12MGSNonbreakdown.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Alg12MGSPaddedClosure	NumStability/Algorithms/QR/Higham19Alg12MGSPaddedClosure.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Alg12MGSRepair	NumStability/Algorithms/QR/Higham19Alg12MGSRepair.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Alg12MGSRounded	NumStability/Algorithms/QR/Higham19Alg12MGSRounded.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Alg12MGSSourceRate	NumStability/Algorithms/QR/Higham19Alg12MGSSourceRate.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19FormedQ	NumStability/Algorithms/QR/Higham19FormedQ.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Labels	NumStability/Algorithms/QR/Higham19Labels.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Lemma3ActualSequence	NumStability/Algorithms/QR/Higham19Lemma3ActualSequence.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Lemma7Gamma4	NumStability/Algorithms/QR/Higham19Lemma7Gamma4.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Lemma9DisjointSweep	NumStability/Algorithms/QR/Higham19Lemma9DisjointSweep.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19PolarNearest	NumStability/Algorithms/QR/Higham19PolarNearest.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Problem19_10	NumStability/Algorithms/QR/Higham19Problem19_10.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Problem19_9	NumStability/Algorithms/QR/Higham19Problem19_9.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Problem6ActualStep	NumStability/Algorithms/QR/Higham19Problem6ActualStep.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Sensitivity	NumStability/Algorithms/QR/Higham19Sensitivity.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19SensitivityClosure	NumStability/Algorithms/QR/Higham19SensitivityClosure.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19StoredLoop	NumStability/Algorithms/QR/Higham19StoredLoop.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19StoredLoopAllPivots	NumStability/Algorithms/QR/Higham19StoredLoopAllPivots.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19StoredLoopStrongModel	NumStability/Algorithms/QR/Higham19StoredLoopStrongModel.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19SunBischof	NumStability/Algorithms/QR/Higham19SunBischof.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Theorem10ActualMatrix	NumStability/Algorithms/QR/Higham19Theorem10ActualMatrix.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Theorem5Nonbreakdown	NumStability/Algorithms/QR/Higham19Theorem5Nonbreakdown.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Theorem5SourceClosure	NumStability/Algorithms/QR/Higham19Theorem5SourceClosure.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Theorem6ActualSource	NumStability/Algorithms/QR/Higham19Theorem6ActualSource.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6ColPivot	NumStability/Algorithms/QR/Higham19Thm6ColPivot.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6ColPivotFull	NumStability/Algorithms/QR/Higham19Thm6ColPivotFull.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6CoxHigham	NumStability/Algorithms/QR/Higham19Thm6CoxHigham.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6CoxHighamAssembly	NumStability/Algorithms/QR/Higham19Thm6CoxHighamAssembly.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6CoxHighamConcrete	NumStability/Algorithms/QR/Higham19Thm6CoxHighamConcrete.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6CoxHighamFull	NumStability/Algorithms/QR/Higham19Thm6CoxHighamFull.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6Elementwise	NumStability/Algorithms/QR/Higham19Thm6Elementwise.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6ElementwiseEntry	NumStability/Algorithms/QR/Higham19Thm6ElementwiseEntry.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6ElementwisePackaged	NumStability/Algorithms/QR/Higham19Thm6ElementwisePackaged.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6Final	NumStability/Algorithms/QR/Higham19Thm6Final.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6Pivoted	NumStability/Algorithms/QR/Higham19Thm6Pivoted.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6RowSpecific	NumStability/Algorithms/QR/Higham19Thm6RowSpecific.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19Thm6StrongModel	NumStability/Algorithms/QR/Higham19Thm6StrongModel.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19TurnbullAitken	NumStability/Algorithms/QR/Higham19TurnbullAitken.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.Higham19WYApplicationClosure	NumStability/Algorithms/QR/Higham19WYApplicationClosure.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.HouseholderApply	NumStability/Algorithms/QR/HouseholderApply.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.HouseholderApplySupport	NumStability/Algorithms/QR/HouseholderApplySupport.lean	0	NumStability.Algorithms.LinearSystems.QR.Householder.PanelApplication	declaration-free compatibility wrapper: add module documentation and retarget its exact support import to the listed relocated destination	approved_before_activation
NumStability.Algorithms.QR.HouseholderConstruction2	NumStability/Algorithms/QR/HouseholderConstruction2.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.HouseholderMatrixStep	NumStability/Algorithms/QR/HouseholderMatrixStep.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.HouseholderOneStep	NumStability/Algorithms/QR/HouseholderOneStep.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.HouseholderQApply	NumStability/Algorithms/QR/HouseholderQApply.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
NumStability.Algorithms.QR.HouseholderQR	NumStability/Algorithms/QR/HouseholderQR.lean	0	-	declaration-free compatibility wrapper: add module documentation and retain its exact existing imports	approved_before_activation
