consumer_module	consumer_path	consumer_scope	old_import	new_import
NumStability.Algorithms	NumStability/Algorithms.lean	outside	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Algorithms.LinearSystems.Underdetermined.MinimumNorm.Solvers.Executor.Core
NumStability.Algorithms.LeastSquares.Higham20ZeroDeltaB	NumStability/Algorithms/LeastSquares/Higham20ZeroDeltaB.lean	outside	NumStability.Algorithms.Underdetermined.UnderdeterminedSolve	NumStability.Algorithms.LinearSystems.Underdetermined.MinimumNorm.Solvers.Executor.Core
NumStability.Algorithms.LinearSystems	NumStability/Algorithms/LinearSystems.lean	outside	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.Closure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.StoredReplay.EndToEnd.Core
NumStability.Algorithms.LinearSystems	NumStability/Algorithms/LinearSystems.lean	outside	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ForwardError.ActualOutput	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ForwardError.ComputedOutput.Core
NumStability.Algorithms.LinearSystems	NumStability/Algorithms/LinearSystems.lean	outside	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.HouseholderClosure.Closure	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.Householder.EndToEnd
NumStability.Algorithms.LinearSystems	NumStability/Algorithms/LinearSystems.lean	outside	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.HouseholderClosure.Uniform	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.Householder.Uniform
NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.HouseholderClosure.Closure	NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/HouseholderClosure/Closure.lean	in_wave	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ForwardError.ActualOutput	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ForwardError.ComputedOutput.Core
NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.HouseholderClosure.Uniform	NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/HouseholderClosure/Uniform.lean	in_wave	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.HouseholderClosure.Closure	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.Householder.EndToEnd
NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.QRTransfer.EnvelopeTransfer	NumStability/Algorithms/LinearSystems/Underdetermined/SeminormalEquations/QRTransfer/EnvelopeTransfer.lean	outside	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ForwardError.ActualOutput	NumStability.Algorithms.LinearSystems.Underdetermined.SeminormalEquations.ForwardError.ComputedOutput.Core
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21Attainability	NumStability.Source.Higham.Chapter21.Attainability.Results
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21Eq21_11Uniform	NumStability.Source.Higham.Chapter21.Equation11.UniformEnvelope.Core
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21Eq21_8	NumStability.Source.Higham.Chapter21.Equation08.Results.Core
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21Eq21_9	NumStability.Source.Higham.Chapter21.Equation09.Results.Core
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21Equation21_11	NumStability.Source.Higham.Chapter21.Equation11.Results.Core
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21Equation21_11Scalar	NumStability.Source.Higham.Chapter21.Equation11.ScalarCase.Core
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21GivensClosure	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.EndToEnd.Core
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21GivensRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.Givens.Rounded.Core
NumStability.Algorithms.Underdetermined.Higham21	NumStability/Algorithms/Underdetermined/Higham21.lean	in_wave	NumStability.Algorithms.Underdetermined.Higham21MGSRounded	NumStability.Algorithms.LinearSystems.Underdetermined.QR.ModifiedGramSchmidt.Rounded.Core
