owner_module	path	base_blob_oid	current_tier	debt_flags	declaration_count	semantic_classification	destination_modules	compatibility_action	split_rationale	dependency_rationale	review_status
NumStability.Algorithms.Ch5DerivativeError	NumStability/Algorithms/Ch5DerivativeError.lean	17dcb88449e7641abb3874f826ffdb8c0e0724fb	unclassified	noncanonical_modules;unclassified_modules	4	source	NumStability.Source.Higham.Chapter05.Section02.DerivativeError.Results.Theorems	move all frozen source declarations to the exact listed destination; replace the historical owner with a documented complete import-only compatibility wrapper	no reusable/source split: complete source declaration closure	move or retain the exact C0002 dependency closure; co-locate every private/internal support declaration and retarget selected-owner imports canonical-to-canonical	approved_before_activation
NumStability.Algorithms.Ch5SourceClosure	NumStability/Algorithms/Ch5SourceClosure.lean	08aa3d80434f8d12b942e44627783bc7420f318e	unclassified	noncanonical_modules;unclassified_modules	16	source	NumStability.Source.Higham.Chapter05.Section02.BidiagonalDerivativeAnalysis.Results.Theorems	move the complete source declaration and private-support closure to the exact listed destination; replace the historical owner with a documented complete import-only compatibility wrapper	no reusable/source split: complete source declaration closure	move or retain the exact C0002 dependency closure; co-locate every private/internal support declaration and retarget selected-owner imports canonical-to-canonical	approved_before_activation
NumStability.Algorithms.Higham5FastPolynomialEvaluation	NumStability/Algorithms/Higham5FastPolynomialEvaluation.lean	5658884d141984b18936e0286e3d9b9456c39ce7	unclassified	noncanonical_modules;unclassified_modules	4	source	NumStability.Source.Higham.Chapter05.Section05.FastPolynomialEvaluation.Results.Theorems	move the complete source declaration and private-support closure to the exact listed destination; replace the historical owner with a documented complete import-only compatibility wrapper	no reusable/source split: complete source declaration closure	move or retain the exact C0002 dependency closure; co-locate every private/internal support declaration and retarget selected-owner imports canonical-to-canonical	approved_before_activation
NumStability.Algorithms.Higham5PatersonStockmeyer	NumStability/Algorithms/Higham5PatersonStockmeyer.lean	1b94f547524f471fcaae3726a2db7c5650ca5e3e	unclassified	noncanonical_modules;unclassified_modules	6	source	NumStability.Source.Higham.Chapter05.Section04.PatersonStockmeyer.Results.Theorems	move the complete source declaration and private-support closure to the exact listed destination; replace the historical owner with a documented complete import-only compatibility wrapper	no reusable/source split: complete source declaration closure	move or retain the exact C0002 dependency closure; co-locate every private/internal support declaration and retarget selected-owner imports canonical-to-canonical	approved_before_activation
NumStability.Algorithms.Higham726Rump	NumStability/Algorithms/Higham726Rump.lean	5e9a07b2931c91f072397f5d53f852aaba8894a5	unclassified	noncanonical_modules;unclassified_modules	12	source	NumStability.Source.Higham.Chapter07.Equation26.RumpCycle.Results.Theorems	move the complete Chapter 7 Equation 26 Rump-cycle declaration and private-support closure to the exact listed destination; reject Chapter72 and replace the historical owner with a documented complete import-only compatibility wrapper	one 12-declaration Chapter 7 Equation 26 Rump-cycle source closure; Chapter72 explicitly rejected	imports canonical Chapter07 Equation26 RumpCycle.Basic; ten public and two private residual declarations share that exact source route	approved_before_activation
NumStability.Algorithms.HighamChapter5ComplexAlgorithm51	NumStability/Algorithms/HighamChapter5ComplexAlgorithm51.lean	43c7ab716219d4060d8e1ca02cec0912481e380e	unclassified	noncanonical_modules;unclassified_modules	8	source	NumStability.Source.Higham.Chapter05.Algorithm01.ComplexHorner.ErrorBounds.Theorems	move the complete Algorithm 5.1 source declaration and private-support closure to the exact listed destination; replace the historical owner with a documented complete import-only compatibility wrapper	no reusable/source split: complete source declaration closure	move or retain the exact C0002 dependency closure; co-locate every private/internal support declaration and retarget selected-owner imports canonical-to-canonical	approved_before_activation
NumStability.Algorithms.HighamChapter8	NumStability/Algorithms/HighamChapter8.lean	9f1ac43e6ee420efe773d527cd3b4b6de071a81d	mixed	mixed_modules;noncanonical_modules	122	source	NumStability.Source.Higham.Chapter08.Equation02.TriangularSubstitution.RelativeInfinityNormBounds.Theorems;NumStability.Source.Higham.Chapter08.Equation15.GlobalEnvelopeCounterexample.LocalCancellationResults.Theorems;NumStability.Source.Higham.Chapter08.Problem02.ComparisonMatrixWitness.ArbitraryRatios.Theorems;NumStability.Source.Higham.Chapter08.Problem07.DiagonalScaling.Results.Theorems;NumStability.Source.Higham.Chapter08.Problem08.SingleEntrySingularity.Results.Theorems;NumStability.Source.Higham.Chapter08.Problem09.KahanSingularValues.Results.Theorems;NumStability.Source.Higham.Chapter08.Section03.TriangularSystems.ComparisonConditioningResults.Theorems;NumStability.Source.Higham.Chapter08.Section03.TriangularSystems.InverseNormResults.Theorems	split the eight exact source dependency components among the listed destinations; replace the historical mixed owner with a documented complete import-only compatibility wrapper	eight exact C0002 source dependency components: 54 Problem 8.9, 27 inverse-norm, 12 comparison-conditioning, 8 Problem 8.2, 7 Problem 8.8, 5 Equation 8.2, 5 Problem 8.7, and 4 local-cancellation declarations	component boundaries are the eight undirected C0002 declaration-dependency components; private helpers follow their public reverse-dependency component	approved_before_activation
NumStability.Algorithms.HighamChapters1To9SourceClosure	NumStability/Algorithms/HighamChapters1To9SourceClosure.lean	964254467f4e159efd1b30f92993346a6398594b	unclassified	noncanonical_modules;unclassified_modules	3	source	NumStability.Source.Higham.Chapter08.Equation18.FanInExecutor.FirstOrderForwardError	move all three declarations to the exact listed source destination per the reviewed fanIn7 private-closure repair (reviews/R03-route-amendment.md): the private helper is used by both public declarations, so the component is indivisible; replace the historical owner with a documented complete import-only compatibility wrapper and deliver the Equation 8.15 module as a documented declaration-free bridge importing the destination	one indivisible component: two public declarations plus the shared private helper	the Equation 8.18 private helper is used by both public reverse-dependent declarations	approved_route_amendment
NumStability.Algorithms.Horner	NumStability/Algorithms/Horner.lean	36425d0e0ecc47f3f351782075fb7df5064270ac	unclassified	unclassified_modules	6	reusable	NumStability.Algorithms.PolynomialEvaluation.DerivativeEvaluation.ErrorBounds	move the complete reusable derivative-evaluation declaration and private-support closure to the exact listed destination; replace the historical owner with a documented complete import-only compatibility wrapper	one 6-declaration reusable derivative-evaluation closure	new reusable error bounds import reusable floating-point leaves or the new IEEE result module, never the old mixed facade	approved_before_activation
NumStability.Algorithms.KahanAbsolute	NumStability/Algorithms/KahanAbsolute.lean	d168d6039294b937619fde4f48b4a542fa89f3e6	unclassified	unclassified_modules	123	source	NumStability.Source.Higham.Chapter03.Problem11.KahanAbsoluteValue.IeeeDoubleTrace.Results	move the complete Problem 3.11 source declaration and private-support closure to the exact listed destination; replace the historical owner with a documented complete import-only compatibility wrapper	no reusable/source split: complete source declaration closure	move or retain the exact C0002 dependency closure; co-locate every private/internal support declaration and retarget selected-owner imports canonical-to-canonical	approved_before_activation
