owner_module	path	base_blob_oid	current_tier	debt_flags	declaration_count	semantic_classification	destination_modules	compatibility_action	split_rationale	dependency_rationale	review_status
NumStability.Algorithms.Ch10ActualSourceClosure	NumStability/Algorithms/Ch10ActualSourceClosure.lean	ccb7e35cf8de1104caf23812d82c30fea922dc53	unclassified	noncanonical_modules;unclassified_modules	1	relocate_whole	NumStability.Source.Higham.Chapter10.Theorem06.RoundedCholesky.ForwardError.ActualAlgorithm	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Ch10ComplexPositiveDefiniteSourceClosure	NumStability/Algorithms/Ch10ComplexPositiveDefiniteSourceClosure.lean	d09de110b1ed595848ec614bdf0ea359ae5928e6	unclassified	noncanonical_modules;unclassified_modules	69	relocate_whole	NumStability.Source.Higham.Chapter10.Equation30.ComplexPositiveDefinite.NoPivotLU.SourceBounds	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Ch10KahanSharpnessSource	NumStability/Algorithms/Ch10KahanSharpnessSource.lean	4113a1bf16e4b406ee9eb07d528002ace70ab9af	unclassified	noncanonical_modules;unclassified_modules	10	relocate_whole	NumStability.Source.Higham.Chapter10.Lemma13.KahanSharpness.OperatorNorm.SourceBound	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Ch10PivotedPSDSourceClosure	NumStability/Algorithms/Ch10PivotedPSDSourceClosure.lean	f13e8200e8da1020311ec850e36ec1808f30fceb	unclassified	noncanonical_modules;unclassified_modules	6	relocate_whole	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.ActualComputation.ErrorBounds	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Ch10Theorem108Componentwise	NumStability/Algorithms/Ch10Theorem108Componentwise.lean	fcdf060e2932b2ac1f7d6a44305e0ef39b4e7c02	unclassified	noncanonical_modules;unclassified_modules	10	relocate_whole	NumStability.Source.Higham.Chapter10.Theorem08.ComponentwisePerturbation.NormalizedResolvent.SourceBound	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Ch10Theorem108Source	NumStability/Algorithms/Ch10Theorem108Source.lean	91ee4a29b4e0e7d393348c21d97d8c5bbd8c7ef3	unclassified	noncanonical_modules;unclassified_modules	1	relocate_whole	NumStability.Source.Higham.Chapter10.Theorem08.NormwiseDiscrepancy.Counterexample.Uniqueness	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.CholeskyDemmel	NumStability/Algorithms/Cholesky/CholeskyDemmel.lean	8b7318ec37c32d8386f03b477df25bcd7c2b1b4a	unclassified	unclassified_modules	1	retain_document	-	retained reusable owner; classify and document only	retained owner; no declaration relocation	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.CholeskyFl	NumStability/Algorithms/Cholesky/CholeskyFl.lean	e1e42e92e48f86383347dfe0b87da42493a03c27	unclassified	unclassified_modules	25	retain_document	-	retained reusable owner; classify and document only	retained owner; no declaration relocation	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.CholeskyNonsym	NumStability/Algorithms/Cholesky/CholeskyNonsym.lean	da7582f88116aff0faa142f8b8eb6f92a6883b28	unclassified	unclassified_modules	4	retain_document	-	retained reusable owner; classify and document only	retained owner; no declaration relocation	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.CholeskyPSD	NumStability/Algorithms/Cholesky/CholeskyPSD.lean	2b8953afe4e642d07cc13a69e1b3f720ec075140	unclassified	unclassified_modules	18	relocate_split	NumStability.Algorithms.LinearSystems.Cholesky.PositiveSemidefinite.PivotedFactorization.Existence;NumStability.Source.Higham.Chapter10.Problem01.PositiveSemidefiniteEntries.EntryBounds.Results;NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.ConstructiveFactorization.Existence;NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.QuadraticFormBounds.WeightedNorm;NumStability.Source.Higham.Chapter10.Section03.PositiveSemidefinite.TrailingTermination.Bound;NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RoundedErrorAnalysis.Bounds	owner becomes declaration-free compatibility wrapper importing every routed destination	reviewed semantic split; every private-sharing component remains indivisible	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.CholeskySpec	NumStability/Algorithms/Cholesky/CholeskySpec.lean	423d2fe45806465437c918ee9a2c2f45bcd0c65e	unclassified	unclassified_modules	7	retain_document	-	retained reusable owner; classify and document only	retained owner; no declaration relocation	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.Higham1014Equation1022	NumStability/Algorithms/Cholesky/Higham1014Equation1022.lean	360b3a535416d791e2732d43ce8373cb62a2c0af	unclassified	noncanonical_modules;unclassified_modules	9	relocate_whole	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.SchurPerturbation.Family	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.Higham1014SourceError	NumStability/Algorithms/Cholesky/Higham1014SourceError.lean	ccf2fbfbe54336898b56469d0d5c19b5f48da0e5	unclassified	noncanonical_modules;unclassified_modules	13	relocate_whole	NumStability.Source.Higham.Chapter10.Theorem14.CompletePivotedPSD.RankSensitiveError.Bounds	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.Higham1029Source	NumStability/Algorithms/Cholesky/Higham1029Source.lean	99a81e2912bbc356e6623760d46cf0578b637251	unclassified	noncanonical_modules;unclassified_modules	3	relocate_whole	NumStability.Source.Higham.Chapter10.Section04.PositiveDefiniteSymmetricPart.LUGrowth.Equation29	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
NumStability.Algorithms.Cholesky.HighamMathiasSource	NumStability/Algorithms/Cholesky/HighamMathiasSource.lean	7dbd446ff5994358fcfde61360be496741e53dae	unclassified	noncanonical_modules;unclassified_modules	5	relocate_whole	NumStability.Source.Higham.Chapter10.Equation29.Mathias.RoundedSchur.Bounds	owner becomes declaration-free compatibility wrapper importing its routed destination	whole-owner relocation; no declaration split	exact post-move import manifest and recursive supply proofs freeze the historical surface	frozen_before_activation
