declaration	owner_module	visibility	selected_owner	closure_role
H19.Problem19_1.complexMatMulVec_givens_p	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Problem19_1.complexMatMulVec_givens_q	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Problem19_1.givens_complex_eigenpair_minus	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Problem19_1.givens_complex_eigenpair_plus	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.firstStoredPanelStep_fl_householderNormalizedVector_eq_signedActiveBetaSpec_of_alpha_eq_fl_householderAlpha_of_first_leadingBlock_det_ne_zero_exact_add_mul_div_sqrt	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.firstStoredPanelStep_fl_householderNormalizedVector_eq_signedActiveBetaSpec_of_alpha_eq_fl_householderAlpha_of_first_leadingBlock_det_ne_zero_updateCompatible_exact_add_mul_div_sqrt	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.firstStoredPanelStep_fl_householderNormalizedVector_eq_signedActiveBetaSpec_of_alpha_eq_householderAlpha_of_first_leadingBlock_det_ne_zero_exact_add_mul_div_sqrt	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.firstStoredPanelStep_fl_householderNormalizedVector_eq_signedActiveBetaSpec_of_alpha_eq_householderAlpha_of_first_leadingBlock_det_ne_zero_updateCompatible_exact_add_mul_div_sqrt	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.householder_paddedFinInput_R11_det_ne_zero_of_storedTrailingPanel_final_panel_eq_final_prevBlocks_uniform_step_budget	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.householder_paddedFinInput_R11_det_ne_zero_of_storedTrailingPanel_final_prevBlocks_uniform_step_budget	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.householder_paddedFinInput_R11_diag_ne_zero_of_storedTrailingPanel_final_panel_eq_final_prevBlocks_uniform_step_budget	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.householder_paddedFinInput_R11_diag_ne_zero_of_storedTrailingPanel_final_panel_eq_uniform_step_budget	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.householder_paddedFinInput_R11_diag_ne_zero_of_storedTrailingPanel_final_prevBlocks_uniform_step_budget	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.householder_paddedFinInput_R11_diag_ne_zero_of_storedTrailingPanel_uniform_step_budget	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.mgs_qr_bounds_of_storedTrailingPanel_R11_final_prevBlocks_det_uniform_step_budget_compact_condition_explicit_radius_of_small_unit_roundoff	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.mgs_qr_bounds_of_storedTrailingPanel_R11_final_prevBlocks_det_uniform_step_budget_frob_condition_explicit_radius_of_small_unit_roundoff	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.mgs_qr_bounds_of_storedTrailingPanel_R11_final_prevBlocks_det_uniform_step_budget_frob_self_condition_explicit_radius_of_small_unit_roundoff	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.mgs_qr_bounds_of_storedTrailingPanel_R11_final_prevBlocks_uniform_step_budget_frob_condition_explicit_radius_of_small_unit_roundoff	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
H19.Theorem19_13.mgs_qr_bounds_of_storedTrailingPanel_R11_final_prevBlocks_uniform_step_budget_frob_self_condition_explicit_radius_of_small_unit_roundoff	NumStability.Source.Higham.Chapter19.Core	public	yes	reverse_dependent
