declaration	kind	visibility	historical_owner	destination_module	tier	disposition	command_root	start_line
NumStability.AG_eq_HA	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.AG_eq_HA	283
NumStability.A_matMul_Minv_eq_sub	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.ErrorAnalysis.Residual.Identities	reusable	relocated	NumStability.A_matMul_Minv_eq_sub	2860
NumStability.A_matPow_G_eq_matPow_H_A	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.A_matPow_G_eq_matPow_H_A	318
NumStability.ComponentwiseIterateGrowthBound	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation09.ComponentwiseGrowth.Results	source	relocated	NumStability.ComponentwiseIterateGrowthBound	1938
NumStability.ComponentwiseIterateGrowthValues	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation09.ComponentwiseGrowth.Results	source	relocated	NumStability.ComponentwiseIterateGrowthValues	1922
NumStability.ComputedIteration	inductive	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Execution.Computed.Model	reusable	relocated	NumStability.ComputedIteration	576
NumStability.ComputedIteration.casesOn	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Execution.Computed.Model	reusable	relocated	NumStability.ComputedIteration	576
NumStability.ComputedIteration.mk	constructor	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Execution.Computed.Model	reusable	relocated	NumStability.ComputedIteration	576
NumStability.ComputedIteration.rec	recursor	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Execution.Computed.Model	reusable	relocated	NumStability.ComputedIteration	576
NumStability.ComputedIteration.recOn	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Execution.Computed.Model	reusable	relocated	NumStability.ComputedIteration	576
NumStability.ComputedIteration.step	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Execution.Computed.Model	reusable	relocated	NumStability.ComputedIteration	576
NumStability.G_fixes_oneEigenProjector_apply	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	unclassified-review	retained_classify_only	NumStability.G_fixes_oneEigenProjector_apply	233
NumStability.G_mul_oneEigenProjector_eq	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	unclassified-review	retained_classify_only	NumStability.G_mul_oneEigenProjector_eq	215
NumStability.IndexOneDrazinInverse	inductive	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Projectors.Drazin.Algebra	reusable	relocated	NumStability.IndexOneDrazinInverse	1010
NumStability.IndexOneDrazinInverse.casesOn	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Projectors.Drazin.Algebra	reusable	relocated	NumStability.IndexOneDrazinInverse	1010
NumStability.IndexOneDrazinInverse.comm	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Projectors.Drazin.Algebra	reusable	relocated	NumStability.IndexOneDrazinInverse	1010
NumStability.IndexOneDrazinInverse.index_one	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Projectors.Drazin.Algebra	reusable	relocated	NumStability.IndexOneDrazinInverse	1010
NumStability.IndexOneDrazinInverse.mk	constructor	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Projectors.Drazin.Algebra	reusable	relocated	NumStability.IndexOneDrazinInverse	1010
NumStability.IndexOneDrazinInverse.rec	recursor	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Projectors.Drazin.Algebra	reusable	relocated	NumStability.IndexOneDrazinInverse	1010
NumStability.IndexOneDrazinInverse.recOn	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Projectors.Drazin.Algebra	reusable	relocated	NumStability.IndexOneDrazinInverse	1010
NumStability.IndexOneDrazinInverse.reflexive	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Projectors.Drazin.Algebra	reusable	relocated	NumStability.IndexOneDrazinInverse	1010
NumStability.J_mul_topProjector	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergent	NumStability.Algorithms.StationaryIterationSemiconvergent	unclassified-review	retained_classify_only	NumStability.J_mul_topProjector	79
NumStability.LocalErrorBound	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation02.LocalError.Results	source	relocated	NumStability.LocalErrorBound	1977
NumStability.NormwiseIterateGrowthBound	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation07.NormwiseGrowth.Results	source	relocated	NumStability.NormwiseIterateGrowthBound	1891
NumStability.NormwiseIterateGrowthValues	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation07.NormwiseGrowth.Results	source	relocated	NumStability.NormwiseIterateGrowthValues	1878
NumStability.PartialSumBound	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation12.PartialSumBound.Results	source	relocated	NumStability.PartialSumBound	2223
NumStability.ResidualSigmaValues	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation20.ResidualSigma.Results	source	relocated	NumStability.ResidualSigmaValues	2433
NumStability.RoundedStationarySolveCertificate	definition	public	NumStability.Algorithms.StationaryIterationRounded	NumStability.Algorithms.StationaryIterationRounded	unclassified-review	retained_classify_only	NumStability.RoundedStationarySolveCertificate	42
NumStability.SourceComputedIteration	inductive	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation01.ComputedIteration.Results	source	relocated	NumStability.SourceComputedIteration	583
NumStability.SourceComputedIteration.casesOn	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation01.ComputedIteration.Results	source	relocated	NumStability.SourceComputedIteration	583
NumStability.SourceComputedIteration.mk	constructor	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation01.ComputedIteration.Results	source	relocated	NumStability.SourceComputedIteration	583
NumStability.SourceComputedIteration.rec	recursor	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation01.ComputedIteration.Results	source	relocated	NumStability.SourceComputedIteration	583
NumStability.SourceComputedIteration.recOn	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation01.ComputedIteration.Results	source	relocated	NumStability.SourceComputedIteration	583
NumStability.SourceComputedIteration.step	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation01.ComputedIteration.Results	source	relocated	NumStability.SourceComputedIteration	583
NumStability.SplittingSpec	inductive	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.SplittingSpec	29
NumStability.SplittingSpec.casesOn	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.SplittingSpec	29
NumStability.SplittingSpec.inv_left	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.SplittingSpec	29
NumStability.SplittingSpec.inv_right	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.SplittingSpec	29
NumStability.SplittingSpec.mk	constructor	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.SplittingSpec	29
NumStability.SplittingSpec.rec	recursor	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.SplittingSpec	29
NumStability.SplittingSpec.recOn	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.SplittingSpec	29
NumStability.SplittingSpec.splitting	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Splittings.Core.Definitions	reusable	relocated	NumStability.SplittingSpec	29
NumStability.W_mul_bottomProjector	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.W_mul_bottomProjector	257
NumStability.X_inv_G_X_eq_blockJ	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	unclassified-review	retained_classify_only	NumStability.X_inv_G_X_eq_blockJ	227
NumStability.affine_fixed_point_unroll	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Recurrences.Affine.Unrolling	reusable	relocated	NumStability.affine_fixed_point_unroll	381
NumStability.affine_recurrence_unroll	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Recurrences.Affine.Unrolling	reusable	relocated	NumStability.affine_recurrence_unroll	466
NumStability.blockJ	definition	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	unclassified-review	retained_classify_only	NumStability.blockJ	83
NumStability.blockJ_bottom	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	unclassified-review	retained_classify_only	NumStability.blockJ_bottom	113
NumStability.blockJ_bottom_row_sum_le	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	unclassified-review	retained_classify_only	NumStability.blockJ_bottom_row_sum_le	121
NumStability.blockJ_cross	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	unclassified-review	retained_classify_only	NumStability.blockJ_cross	105
NumStability.blockJ_top	theorem	public	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	NumStability.Algorithms.StationaryIterationSemiconvergentExistence	unclassified-review	retained_classify_only	NumStability.blockJ_top	97
NumStability.bottomProjector	definition	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.bottomProjector	55
NumStability.bottomProjector_apply_bottom	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.bottomProjector_apply_bottom	62
NumStability.bottomProjector_apply_top	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.bottomProjector_apply_top	71
NumStability.bottomProjector_idempotent	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.bottomProjector_idempotent	131
NumStability.bottomProjector_matPow_J_comm	theorem	public	NumStability.Algorithms.StationaryIterationDrazin	NumStability.Algorithms.StationaryIterationDrazin	unclassified-review	retained_classify_only	NumStability.bottomProjector_matPow_J_comm	614
NumStability.componentwiseIterateGrowth	definition	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation09.ComponentwiseGrowth.Results	source	relocated	NumStability.componentwiseIterateGrowth	1931
NumStability.componentwiseIterateGrowthBound_of_sSup	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation09.ComponentwiseGrowth.Results	source	relocated	NumStability.componentwiseIterateGrowthBound_of_sSup	1954
NumStability.componentwiseIterateGrowth_ratio_le	theorem	public	NumStability.Algorithms.StationaryIteration	NumStability.Source.Higham.Chapter17.Equation09.ComponentwiseGrowth.Results	source	relocated	NumStability.componentwiseIterateGrowth_ratio_le	1944
