declaration	owner_module	visibility	selected_owner	closure_role
NumStability.Ch14Ext.ch14ext_methodB_eq14_18_doolittle	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodB.MethodsBC	public	no	reverse_dependent
NumStability.Ch14Ext.ch14ext_methodD_left_residual_doolittle	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MethodDProductDischarge	public	no	reverse_dependent
NumStability.Ch14Ext.ch14ext_methodD_left_residual_doolittle_infNorm	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MethodDProductDischarge	public	no	reverse_dependent
NumStability.Ch22B.ch22b_horner_derivative_error_via_higham5_7	NumStability.Source.Higham.Chapter22.Section03.RealRefinement	public	no	reverse_dependent
NumStability.DoolittleDenseLoopAbsBudgetCertificate.of_literal_doolittle_exact_target_gaps	NumStability.Algorithms.LU.Doolittle	public	yes	reverse_dependent
NumStability.DoolittleDenseLoopAbsBudgetCertificate.to_DoolittleLU	NumStability.Algorithms.LU.Doolittle	public	yes	reverse_dependent
NumStability.DoolittleDenseLoopAbsBudgetCertificate.to_LUBackwardError	NumStability.Algorithms.LU.Doolittle	public	yes	reverse_dependent
NumStability.DoolittleDenseLoopCertificate.to_DoolittleLU	NumStability.Algorithms.LU.Doolittle	public	yes	reverse_dependent
NumStability.DoolittleDenseLoopCertificate.to_LUBackwardError	NumStability.Algorithms.LU.Doolittle	public	yes	reverse_dependent
NumStability.DoolittleLU.to_LUBackwardError	NumStability.Algorithms.LU.Doolittle	public	yes	reverse_dependent
NumStability.FloatingPointFormat.ieeeRoundToModeOpInexactAwareValueResult?_add_finite_negInf	NumStability.Analysis.FloatingPointArithmetic	public	yes	reverse_dependent
NumStability.FloatingPointFormat.ieeeRoundToModeOpInexactAwareValueResult?_add_finite_negZero	NumStability.Analysis.FloatingPointArithmetic	public	yes	reverse_dependent
NumStability.FloatingPointFormat.ieeeRoundToModeOpInexactAwareValueResult?_add_finite_posInf	NumStability.Analysis.FloatingPointArithmetic	public	yes	reverse_dependent
NumStability.FloatingPointFormat.ieeeRoundToModeOpInexactAwareValueResult?_add_finite_posZero	NumStability.Analysis.FloatingPointArithmetic	public	yes	reverse_dependent
NumStability.FloatingPointFormat.ieeeRoundToModeOpInexactAwareValueResult?_add_negInf_finite	NumStability.Analysis.FloatingPointArithmetic	public	yes	reverse_dependent
