baseline_owner_module	baseline_declaration_name	visibility	kind	baseline_order	destination_module	route_class	normalization_decision
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.GramSchmidtOrthonormalColumns.reindexRowsEquiv	public	theorem	0	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEEliminationReducedMinimizer	public	definition	1	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer	public	definition	2	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer.eq_of_lseStackedFullColumnRank	public	theorem	3	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer.eq_of_nullIntersectionTrivial	public	theorem	4	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer.exists_lagrange_normal_equations_of_fullRowRank	public	theorem	5	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer.feasible_direction_stationarity	public	theorem	6	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer.of_lagrange_normal_equations	public	theorem	7	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer.of_permuteCols	public	theorem	8	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer.reduced_nullspace_minimizer	public	theorem	9	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLSEMinimizer.vecNorm2_constraint_rhs_le_frobNormRect_mul	public	theorem	10	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLowerTriangular	public	definition	11	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsLowerTriangular.add_of_entrywise_abs_le_mul_abs	public	theorem	12	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.IsOrthogonal.reindexRowsColsEquiv	public	theorem	13	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.LSEFeasible	public	definition	14	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.LSEFeasible.add_null_direction	public	theorem	15	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.LSEFeasible.direction_zero	public	theorem	16	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.LSEFeasible.vecNorm2_rhs_le_frobNormRect_mul	public	theorem	17	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.LSEFullRowRank	public	definition	18	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.LSEFullRowRank.exists_feasible	public	theorem	19	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.LSEFullRowRank.exists_rightInverse	public	theorem	20	-	retain_document	-
NumStability.Algorithms.LinearSystems.LeastSquares.Equality.Basic	NumStability.LSEFullRowRank.isLSEMinimizer_of_square_feasible	public	theorem	21	-	retain_document	-
