owner_module	path	base_blob_oid	baseline_declarations	public_declarations	private_declarations	relocated_declarations	retained_declarations	destination_modules	wrapper_action	worker_change	postimage_sha256
NumStability.Algorithms.RandNLA	NumStability/Algorithms/RandNLA.lean	76b0916a253bb77ba0133039deadb4a9f3926428	0	0	0	0	0	-	retain_byte_identical	byte_identical	EA189A6435653E515C7CF6D10A892F9FA7C64D0FD1C06B36CC20E763374EC6E3
NumStability.Algorithms.RandNLA.ElementwiseSampling	NumStability/Algorithms/RandNLA/ElementwiseSampling.lean	6c5b0d02feb7bf7ef352067d0aad66dbe338218c	0	0	0	0	0	-	retain_byte_identical	byte_identical	D9A7E5A5CAF0A24048D6D361A3F4F28D9221E62987041816C0ACE79CE6C05AF7
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability/Algorithms/RandNLA/ElementwiseSpectral.lean	63c96b3e6bfd32be6d1207880cd2b0009f1fc74a	17	17	0	17	0	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds;NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	import_only_wrapper	modified	C2BB52C17D0A7DEA050D57A99E6BB52B905E34CD05A5C232979C3D3FC517C986
NumStability.Algorithms.RandNLA.ElementwiseTraceMGF	NumStability/Algorithms/RandNLA/ElementwiseTraceMGF.lean	62ade230546b311db5c16b5dfc7c32dbecdb0d57	0	0	0	0	0	-	retain_byte_identical	byte_identical	50E91D255D3CAE0D2669048814F7327628C000F9743D6616BD6FEA89FDD012AB
NumStability.Algorithms.RandNLA.HitCountConcentration	NumStability/Algorithms/RandNLA/HitCountConcentration.lean	73985f0d4101e032d775c7e50bde381d6ee70e12	3	2	1	3	0	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm01.ElementwiseSampling.HitPairEvents	import_only_wrapper	modified	389842EE9EB5A40A31A16DCFA90C2D5DB551FEEA6313A2AB7FF68451F3F7C64F
NumStability.Algorithms.RandNLA.LeastSquaresSketch	NumStability/Algorithms/RandNLA/LeastSquaresSketch.lean	b2fec85bada217e5f44ceae6074bf352ba20b2eb	8	8	0	8	0	NumStability.Source.DrineasMahoney.RandNLA2016.Equation08.LeastSquaresSketch.FloatingPointObjectiveBounds;NumStability.Source.DrineasMahoney.RandNLA2016.Equation08.LeastSquaresSketch.SketchedObjectiveBounds	import_only_wrapper	modified	CEAE50347B975F6E666925023FBC2CE405134F81A481009A3834DDAF230A70B9
NumStability.Algorithms.RandNLA.LowRankApprox	NumStability/Algorithms/RandNLA/LowRankApprox.lean	589ee3e057450f7dca8774639d4a350032cf38a6	0	0	0	0	0	-	retain_byte_identical	byte_identical	B5D651039F45A18FC65159AC75293B4D91B6F5D9DC27E61EF8B97146CEB70022
NumStability.Algorithms.RandNLA.Preconditioning	NumStability/Algorithms/RandNLA/Preconditioning.lean	b18c4fb63cf24abb144d439127c70e7f07419927	66	66	0	66	0	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.HashCollisionProbabilities;NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramLoewnerCovers;NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchedGramMoments;NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.CountSketch.SketchInjectivityBounds	import_only_wrapper	modified	E06F9AA029962B58D3272516E113D64E88710DB902A07C63C9432B20F1F38159
NumStability.Algorithms.RandNLA.RowSampling	NumStability/Algorithms/RandNLA/RowSampling.lean	782f5d9bdc11461d0988a367f956b6ddf6820d34	0	0	0	0	0	-	retain_byte_identical	byte_identical	21CB286266CAB863AAFF3858EC4B967EC7AC7681EA0D4D0473B46CF98BA13315
NumStability.Algorithms.RandNLA.RowSamplingGram	NumStability/Algorithms/RandNLA/RowSamplingGram.lean	9de4b59239922d159ecbb6ccffb1a1500321bdcb	23	22	1	23	0	NumStability.Source.DrineasMahoney.RandNLA2016.Equation05.GramApproximation.SampledGramEndpoints	import_only_wrapper	modified	236A9BBE02726B38150B89C6A89C01911ABFA263D0E8599BCBC1BEB0A174185C
NumStability.Algorithms.RandNLA.RowSamplingLeverage	NumStability/Algorithms/RandNLA/RowSamplingLeverage.lean	3c6ee61d20db2a86e9e1f91c2cc3391906354284	2	2	0	2	0	NumStability.Source.DrineasMahoney.RandNLA2016.Equation07.SubspaceEmbedding.SampledGramOperatorNorm	import_only_wrapper	modified	06D8E1BBA4D861B2AA8F6BA1D3ECDA1F4018FA1D9D384F204D43A70775CDC24D
NumStability.Algorithms.RandNLA.RowSamplingLeverageComputedBasis	NumStability/Algorithms/RandNLA/RowSamplingLeverageComputedBasis.lean	0d7df537293daa9d323e5c1a180121577cf4bd8d	0	0	0	0	0	-	retain_byte_identical	byte_identical	B6B21961A67369E4E884713E611CC999635DDC7D32EDDEC177FB37C775CEED31
NumStability.Algorithms.RandNLA.RowSamplingLeverageMGF	NumStability/Algorithms/RandNLA/RowSamplingLeverageMGF.lean	8ca1ae2e7670ea9c3a204c3a713511e02b42225e	0	0	0	0	0	-	retain_byte_identical	byte_identical	13B0889DE55B9A3ED01806C4A8F0765BEBFBF9F4F7BB51FA19658B5E47146037
NumStability.Algorithms.RandNLA.RowSamplingTraceMGF	NumStability/Algorithms/RandNLA/RowSamplingTraceMGF.lean	f7a4dddef70183fb426ca339f7c28500a8eeb8f1	0	0	0	0	0	-	retain_byte_identical	byte_identical	D26BADC7B871A268D8D92831B9ED5A960735E055B4506C5F80CEE53AD9E5598C
NumStability.Algorithms.RandNLA.UniformRowSampling	NumStability/Algorithms/RandNLA/UniformRowSampling.lean	d0bb0bb75f050113d29a232b20faa173ba6f40a5	10	9	1	10	0	NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.UniformRows.GramMoments	import_only_wrapper	modified	76CFB830C72E602DAC952720FC889B3B32CD86A8679DF4154E886652D5D4CD41
NumStability.Algorithms.RandNLA.UniformRowSamplingComposition	NumStability/Algorithms/RandNLA/UniformRowSamplingComposition.lean	be156e16bbaad89f9dabd6888f379565d3dba371	1	1	0	1	0	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.UniformRowEmbedding	import_only_wrapper	modified	5236D2FB25199B7A894C71A290ACD6D6831D19E228BBF761BB0BA5192F438A7C
NumStability.Algorithms.RandNLA.UniformRowSamplingFP	NumStability/Algorithms/RandNLA/UniformRowSamplingFP.lean	dceca86ecbfa6d5775a24871c79ba0928fe90878	95	95	0	95	0	NumStability.Algorithms.RandomizedLinearAlgebra.Preconditioning.ExactTransforms.UniformRowEmbedding;NumStability.Algorithms.RandomizedLinearAlgebra.Sampling.UniformRows.GramDotFloatingPoint;NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm03.RandomProjectionPreconditioning.SparsePreconditionedEmbeddings;NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm03.RandomProjectionPreconditioning.SparsePreconditionedGramBounds;NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm03.RandomProjectionPreconditioning.SparsePreconditionedGramGrids	import_only_wrapper	modified	BC7FD1F25C87C45DA1C1FB9C9DFF64E2C74A1A20749958F1352E46BC88188E1A
NumStability.Algorithms.RandNLA.UniformRowSamplingMGF	NumStability/Algorithms/RandNLA/UniformRowSamplingMGF.lean	81b1ae6d8ec3a14511b0c0234df7a4713282fa23	0	0	0	0	0	-	retain_byte_identical	byte_identical	8DF8A3F5AC5FEFB21F59A0E97440F39AD5E26D04E59959B6310F47575FC5265F
