baseline_owner_module	baseline_declaration_name	visibility	kind	projection_order	source_ordinal	destination_module	route_class	normalization_decision
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1ExactEntrywiseEvent_ge_one_sub	public	theorem	0	2	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1ExactFrobEvent_ge_one_sub	public	theorem	1	9	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1ExactSpectralEvent_ge_one_sub_cover	public	theorem	2	11	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1ExactSpectralEvent_ge_one_sub_entrywise	public	theorem	3	14	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1ExactSpectralEvent_ge_one_sub_frob	public	theorem	4	13	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1FlSpectralEvent_ge_one_sub_cover	public	theorem	5	12	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1FlSpectralEvent_ge_one_sub_entrywise	public	theorem	6	16	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1FlSpectralEvent_ge_one_sub_frob	public	theorem	7	15	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_algorithm1FlSpectralRadius_ge_one_sub_delta_frob_explicit_gamma_square	public	theorem	8	10	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.SpectralEventEndpoints	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_elementwiseTraceResidual_entry_abs_le_ge_one_sub	public	theorem	9	1	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_fl_vecNorm2_rectMatMulVec_elementwiseTraceResidual_le_ge_one_sub	public	theorem	10	6	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_forall_fl_vecNorm2_rectMatMulVec_elementwiseTraceResidual_le_ge_one_sub_sum	public	theorem	11	8	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_forall_vecNorm2_rectMatMulVec_elementwiseTraceResidual_le_ge_one_sub_sum	public	theorem	12	7	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_eventProb_vecNorm2_rectMatMulVec_elementwiseTraceResidual_le_ge_one_sub	public	theorem	13	5	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_expectationReal_elementwiseTraceResidual_entry_sq_le	public	theorem	14	0	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_expectationReal_elementwiseTraceResidual_frob_sq_le	public	theorem	15	3	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.ElementwiseSpectral	NumStability.sqMagTraceProbability_expectationReal_vecNorm2Sq_rectMatMulVec_elementwiseTraceResidual_le	public	theorem	16	4	NumStability.Source.DrineasMahoney.RandNLA2016.Equation02.SpectralApproximation.ResidualMomentBounds	relocate_split	-
NumStability.Algorithms.RandNLA.HitCountConcentration	NumStability.sqMagTraceProbMass_marginal_two_ne	public	theorem	0	1	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm01.ElementwiseSampling.HitPairEvents	relocate_whole	-
NumStability.Algorithms.RandNLA.HitCountConcentration	NumStability.sqMagTraceProbability_eventProb_sampleHits_pair_ne	public	theorem	1	2	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm01.ElementwiseSampling.HitPairEvents	relocate_whole	-
NumStability.Algorithms.RandNLA.HitCountConcentration	_private.NumStability.Algorithms.RandNLA.HitCountConcentration.0.NumStability.sqMagTraceProbMass_two_point_factor	private	theorem	2	0	NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm01.ElementwiseSampling.HitPairEvents	relocate_whole	rename:_private.NumStability.Source.DrineasMahoney.RandNLA2016.Algorithm01.ElementwiseSampling.HitPairEvents.0.NumStability.sqMagTraceProbMass_two_point_factor
NumStability.Algorithms.RandNLA.LeastSquaresSketch	NumStability.leverageTraceProbability_eventProb_fl_lsObjective_le_one_add_eta_of_augmentedSpan	public	theorem	0	6	NumStability.Source.DrineasMahoney.RandNLA2016.Equation08.LeastSquaresSketch.FloatingPointObjectiveBounds	relocate_split	-
NumStability.Algorithms.RandNLA.LeastSquaresSketch	NumStability.leverageTraceProbability_eventProb_fl_lsObjective_le_one_add_eta_of_coordinate_quadratic_error	public	theorem	1	5	NumStability.Source.DrineasMahoney.RandNLA2016.Equation08.LeastSquaresSketch.FloatingPointObjectiveBounds	relocate_split	-
NumStability.Algorithms.RandNLA.LeastSquaresSketch	NumStability.leverageTraceProbability_eventProb_fl_lsObjective_le_one_add_eta_of_idBasis	public	theorem	2	7	NumStability.Source.DrineasMahoney.RandNLA2016.Equation08.LeastSquaresSketch.FloatingPointObjectiveBounds	relocate_split	-
NumStability.Algorithms.RandNLA.LeastSquaresSketch	NumStability.leverageTraceProbability_eventProb_lsObjective_le_one_add_eta_of_coordinate_quadratic_error	public	theorem	3	0	NumStability.Source.DrineasMahoney.RandNLA2016.Equation08.LeastSquaresSketch.SketchedObjectiveBounds	relocate_split	-
