declaration	owner_module	visibility	selected_owner	closure_role	seed_memberships	membership_witnesses	co_route_component	minimum_depth	signature_edge_span	body_edge_span
NumStability.countSketchHashProbability_eventProb_flSparseGramDot_rowGram_perturb_ge_one_sub_square_inv	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":7,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchHashProbability_eventProb_injective_ge_one_sub_square_inv"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	7	0	1
NumStability.countSketchHashProbability_eventProb_injective_ge_one_sub_pair_sum	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchHashProbability_eventProb_pairNoCollision_eq_one_sub_inv"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	5	0	1
NumStability.countSketchHashProbability_eventProb_injective_ge_one_sub_square_inv	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":6,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchHashProbability_eventProb_injective_ge_one_sub_pair_sum"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	6	0	1
NumStability.countSketchHashProbability_eventProb_pairCollision_eq_inv	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":3,""edge_kind"":""body"",""predecessor"":""NumStability.uniformRowTraceProbability_eventProb_pair_collision_eq_inv"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	3	0	1
NumStability.countSketchHashProbability_eventProb_pairNoCollision_eq_one_sub_inv	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchHashProbability_eventProb_pairCollision_eq_inv"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	4	0	1
NumStability.countSketchHashProbability_expectationReal_collision_coeff_sq_eq_inv_mul	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":5,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchHashProbability_expectationReal_pairCollisionIndicator_eq_inv"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	5	0	1
NumStability.countSketchHashProbability_expectationReal_pairCollisionIndicator_eq_inv	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":4,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchHashProbability_eventProb_pairCollision_eq_inv"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	4	0	1
NumStability.countSketchProbability_eventProb_abs_rowGram_quadratic_error_le_ge_one_sub	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":8,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchProbability_expectationReal_rowGram_quadratic_error_sq_le"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	8	0	1
NumStability.countSketchProbability_eventProb_abs_rowGram_quadratic_error_le_ge_one_sub_delta_of_coeff_budget	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":9,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchProbability_eventProb_abs_rowGram_quadratic_error_le_ge_one_sub"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	9	0	1
NumStability.countSketchProbability_eventProb_flSparseGramDotWithFlStoredSignAddZeroRightPermuted_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget	NumStability.Algorithms.RandNLA.Preconditioning	public	yes	reverse_dependent_boundary	_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor	"[{""depth"":14,""edge_kind"":""body"",""predecessor"":""NumStability.countSketchProbability_eventProb_flSparseGramDotWithStoredSignPermuted_rowGram_twoSidedLoewner_productGrid_ge_one_sub_delta_of_sum_vecNorm_add_frobNorm_budget"",""seed"":""_private.NumStability.Algorithms.RandNLA.UniformRowSampling.0.NumStability.uniformRowTraceProbMass_two_point_factor""}]"	-	14	0	1
