module	role	import	provenance
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	Mathlib.Analysis.Asymptotics.Lemmas	frozen-B0009
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Algorithms.Ch14ForwardErrorEndpoint	frozen-B0009
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem05.InverseBasedSolve.AsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.AsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.ComposedCoefficientFamilies.RemainderAsymptotics	frozen-B0009
NumStability.Algorithms.Ch14AsymptoticFamilies	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1.AsymptoticFamilies	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Algebra.BigOperators.Fin	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Algebra.BigOperators.Group.Finset.Basic	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Algebra.BigOperators.Ring.Finset	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Data.Real.Basic	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Tactic.Linarith	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	Mathlib.Tactic.Ring	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Algorithms.DotProduct	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Algorithms.LinearSystems.Triangular.ForwardSubstitution	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Algorithms.MatrixInversion	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Analysis.MatrixAlgebra	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Analysis.Rounding	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.FloatingPoint.Model	frozen-B0009
NumStability.Algorithms.Ch14BlockTriInverse	compatibility-shim	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method1B.BlockTriInverse	frozen-B0009
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147SourceClosure	frozen-B0009
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	frozen-B0009
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Source.Higham.Chapter07.Corollary06.LinearSystemsConditioning.Results	frozen-B0009
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	frozen-B0009
NumStability.Algorithms.Ch14Cor146UniformInverseBridge	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Corollary06.SPD.UniformInverseBridge	frozen-B0009
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14Corollary147SourceClosure	frozen-B0009
NumStability.Algorithms.Ch14Cor147FinalDivisionFamilyClosure	compatibility-shim(new)	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	frozen-B0009
