path	preimage_blob_oid	preimage_sha256	union_postimage_sha256	source_requests
NumStability/Algorithms.lean	f59bed9a5a837256bc6b4822eb27116ebd9cc617	1CF1F10DFBC4CD1C4D2278A5187F72B49E85C60B70C2210D506B840177350338	1B37ECE4668D38454708C93ED5F6323AA9AEF599E908968D0894A1F0EBA921A2	R0001+R0002
NumStability/Algorithms/NormEstimation/PNorm/All.lean	4eda7a200ae121a3c7994d4ab87a4c372a41c7ba	FA55CADB4A39C5C4075C5F90AFACFC1293BC7FE806EEE0088C852E36C115F0CF	D28918C3A5FBBA3950C34E7F661DDACE783CBCF8718F03B10E532F9BBE2634D5	R0002
NumStability/Algorithms/NormEstimation/PNorm/Rectangular/RectangularTermination.lean	4b414e0eb93182cc7d689d9581a70e0d69651319	0A7E8303C172B86A16B4A3EAE77FDE1AABDEEB6C9C6877EB075BE3956C6A3F2A	A44599F9371D7932DCE3F4B30DE831319E758892EEBDED2F36647209D0ADED87	R0002
NumStability/Algorithms/StationaryIterationSeries.lean	75e055fc909672d3d9d49f14c4db5c817c824f4b	1BAFD664CDE639D6634E2B424881B4308CF6EFBEE08196A196A9B73981076C9C	E437A3F78641D08EB418BFD54786CD1C1A54A3E87F2C4A1360FB2B4588AA1346	R0001
NumStability/Analysis.lean	dafee55fca91c338b759afda792b7d92a4a1b5da	10EC14BBB3C15FF813EE1EB2299C09525CD0E5F94976E1D42955858C55B3149F	67CE03FA396D21AA498961D331FB9AEC32DD95D7F2DA70C87BDE4093DD6F3A32	R0001
NumStability/Source/Higham/Chapter15.lean	5b6cc8970bede9149d899a48f32be663f6daeefd	2333C4857C56AC90770A53C664ED77AC38832D4B345AA29F35B06053B0E51F03	23764C15F48D921E4D2E5BA77C146B066049DE99BF965ED9F504397973094815	R0002
NumStability/Source/Higham/Chapter15/Lemma02/PNormPowerMethod/PNormRectangular.lean	70f68de272fb9c8197bb62354be29aaadc994392	F192800D18CF000E62F79C04C673DD505FF5DA5DC60FC4B5563D5F1DB3EC5A8F	B3A6F5833A753DA08779FAB8912CA335092B96332951BDECE82E32EDD1C2DB02	R0002
NumStability/Source/Higham/Chapter15/Section02/Boyd/EndpointTermination/ConvergenceStatements.lean	dd968f7c98891b48a8253db4c060f605538e4f28	83F03AECB4A5D5274DF0B542484422FCF9CBB41CA3DE7629608C20C8765A12C2	992550C29CE832AF7C922DD4A09C67AF6BDEDB3C9DDCCFB09A717F7657D03DE2	R0002
NumStability/Source/Higham/Chapter15/Section02/Boyd/EndpointTermination/RectangularTermination.lean	d6d736df901bfe9891b57852e3b36213c17b8988	61E0E4B1B5A94AF5A7DCA77B41606CDED3013A4C4473F3F3FB0F9C9731954F56	040EA7580F2F27BE3E4324759C723F27530E32E0C2AFBC2A5A7EE196670E5E1F	R0002
NumStability/Source/Higham/Chapter17.lean	796c9ee6659b36052ba6da675e343169b560c297	2D00F8577A51EEE27877A7DA49288FEAFCAD2021E1B618B7F7062BE9D21CFEE5	EB5D9DA0446935915BA3E845C4A642C11743E2E385D6E3C845B6E9623CF49660	R0001
NumStability/Source/Higham/Chapter17/Equation22.lean	79e1597764ab583db621ea6ffe58354f7b2046e1	4608828245B47DAF5E8A1DA5B150C804E44F71AEDB4F6B6BCC2EACCEE02D44DF	0D385CC461D22765487022894EA946C3E46031CC9969324283764AA6B3EF248A	R0001
