path	preimage_blob_oid	preimage_sha256	union_postimage_sha256	source_requests
NumStability/Algorithms/LeastSquares/Higham20Theorem20_7.lean	327d7c65fa13c267d72e739f10c25dc87846804c	33F7551D5CAFCC8018760E3732E63778F4056C487918744BEC94C90196402997	DF5F719D46EF7AE40585F208B174DA105803542E1554C106FA89B662C1F3ECD4	R0003
NumStability/Algorithms/LeastSquares/LSQRSolve.lean	87f54aa8cf952e5023812f7bb834a8c141625ff7	53B992DDB96AE2ABB4847ADF9F02FD839741C37BE69990B3CE0907D7F129883A	AFA53AC68F96B1251618DD21637A18399DC81065E37561193273D36FBB626329	R0003
NumStability/Algorithms/LinearSystems/LeastSquares/Basic.lean	ddb17fbfc7e5f5e17e80474030eb9725cf15108e	2C6DFB518E3560A50C00E5D1F6414F3342503797F1DB01633A351D491F047EBB	640FE9E71D0F7C12841C61454632CD04106A231F6C54E9DA20D50F9804738FA0	R0003
NumStability/Algorithms/LinearSystems/LeastSquares/Equality/Basic.lean	227d2fe497fac8bb191785335a4151f4502a1da8	1F77F14FD804513B30FB57DDCD17C7869FB9BD18B5749E2B3B8546A92D62E2C9	CB37AD2EF2AB9C59BF3201CDB66D355D749363DF57A0B505F797762ED0B6D024	R0003
NumStability/Algorithms/LinearSystems/LeastSquares/QRSolve.lean	37f5feb8ff9947a715377c2a6a7c4045fe63d775	F27E1107C1AE3F6C31D068CA859553FF23EDAABCB57C3FD59FDC2A74DCFEE993	447B3D8D5CA8367591C6FE6224A7EB9906BADCD27B64E24EA21C64BEE2E31C8E	R0003
NumStability/Algorithms/LinearSystems/LeastSquares/RowSorting.lean	4ac77fbbd54bd9116c2a30756525543e6d21c12f	FE24765DEE9D591F336536684124763AB504561693AFBDC01731A72096A30D3F	A736D07338D476A21AB52912E53BB3B583E83D35DBA27A812ADA6E39A2D4CA97	R0003
NumStability/Algorithms/LinearSystems/LeastSquares/StoredQR.lean	4f2597aa0a45c91414d9fd76814283f610c636d8	03600FF50D996BF46746047167FD9A932D7474439AD2461D10B81C0F75D2CDBC	476DB257E8CB18467C045567A4FA53B1D44F116A04AD8FF07E247BE028F59EFC	R0003
NumStability/Algorithms/LinearSystems/LeastSquares/TraceKernel.lean	198c126782e156613fa1fe2b9e642845c7a9a320	B47B179F869FD66BBE8175FDF804B5CB7A8D9689F3397389DF8C584467661714	233D4604AF55A57DDE85B7B7B9D0552288C1DF80A20C594AEE78C1F69BAE7106	R0003
NumStability/Algorithms/LinearSystems/QR.lean	451e702907daf52e7459362f26ed92a667f0e304	8D30CF2E1A696D0633EF0066C64FBD886F23BED97FE32922A113B813FE0A59FC	2F52818D1EF88840B7841FF46C42A858FAD6C65C3790435DECCBF75AD89B5F37	R0003
NumStability/Algorithms/LinearSystems/Underdetermined/BackwardError/Normwise/UnderdeterminedSolve.lean	2c0f25ba492b5a3c1f573c0062db266032aaa6be	6F6DE6435E3CC5DA04916F9EF5E7F566FDAB2E43AB78AFB50C928580C7C17ABC	EA49B3872A3BD7DA4DAB27FA1262309EEC9B4720671E085123A2B44AADC0E525	R0003
NumStability/Algorithms/LinearSystems/Underdetermined/BackwardError/Rowwise/UnderdeterminedSolve.lean	c20b094c7dc209c7199543b133f37a932aebbb1f	BF762CB857632E30A9349AAA475072AD22501320479E7415FF3BD88FA0355290	3265FC78064971AFFD55F540E8ACA145E1B9386FD0814F53D978FAB53CA170A4	R0003
NumStability/Algorithms/LinearSystems/Underdetermined/Conditioning/Componentwise/Radius.lean	48339019fc80700cceb321932de2576856790a2e	831ADBFB23D1816C7E056677B37938D1FD03380E2989762DCC596A06A56869AC	6CFE4DBCBA958770500B219155D4DE69F8B1A6AB497C12EEA2F877AB5A12ADA6	R0003
NumStability/Algorithms/LinearSystems/Underdetermined/Conditioning/Componentwise/UnderdeterminedSolve.lean	ecf3565929b3e192dcfac1aa792d4f55337efb18	BF99F0143037C9265BC5259AD025576B0B70C7FA4E37B13CD7655923FFD25890	0F2A93B6528B7186963590DDC2C5CD8A357105CC51FD66A80A9BE134CE6D1023	R0003
