path	preimage_blob_oid	preimage_sha256	postimage_sha256
NumStability/Algorithms.lean	4f46fa15910e40d3fb41e5a7fc53479ce3b36e49	18DA616C6669DE313696969D31877086C64DCD6A251BCD778A01AAC5CB85BE67	5946D45B5621B8B30F7611A240B47E29D242DEBD4EE14D565E6025AC029C4755
NumStability/Algorithms/LinearSystems/Cholesky/ErrorAnalysis.lean	eb35c30ccd08a3f11a3979f0a0ec4916565314bd	AEB6F9F14373F332B70900960FA52E04420A4A3B2EC582D4210A3FB213261BF7	F22650B9EA8B3FEA5D70201ABA67C378C18F4C42E590071D0B845CEA8463ED45
NumStability/Algorithms/LinearSystems/Cholesky/PositiveSemidefinite.lean	804bc3fe77db24654f10dcec811e6841238ccd6d	1E4F0B6E83F59CE2412CB1CE88C743D0CDD925D84334B10A3BD38446B8B0C315	73E12815C2B43BABC2D7F2A4EE58413C4B423FB18BA4358701EE5E5E1F962F05
NumStability/Analysis/MatrixNorms/SpectralExtrema.lean	824c7d269dad2cf2b1f21e5863454ce8d49778fe	A2DAB71ACACD78C29F4124AB0D401379A2CB7DDDF313EE0CCC4812CDF75C7981	421811E782E36CC2CD007B5628F5AE2B83F9E7B88848427A062EA22A16E173ED
NumStability/Source/Higham/Chapter06/Lemma06/OperatorTwoNormBound/Bridge.lean	31d68b0fc8c91a9c634504029b0b3612c65fac9b	3F3262D313A2515BFCAE98E7F66F9FBBF8395CFA186B2944CAFC874A15C78A73	883CA79AE6FC0BF287C9C23D58E84D6917CF9A7DFC650ECCDEC229C3AD7BC11E
NumStability/Source/Higham/Chapter10/Equation07/AbsoluteFactorNorm/Bridge.lean	80014368701a1349b53ba084875bd692bc3a1e22	762B43289494DD7FB72201E5B04AF3E97CE13B1C0F5464918FDF93A1532C294B	4A4EB8A24EDA39D2958EC56A0C8B25CE9890CE3D48531A77A6A89AB73C443590
NumStability/Source/Higham/Chapter10/Equation29/Mathias.lean	e200538d067e2ea6c028fb77f83fcef015b9c60e	B7A65BC89C2D1F6166AB504E91B7758D4E717F62B2AF489CFDAE1458FD615873	11B382FD7ECCF9190F9D76566409700AE9C2404797FFE2062F10445376EC7841
NumStability/Source/Higham/Chapter10/Equation30/ComplexPositiveDefinite.lean	fef8d777004ac946fdf87955811ee142ed99948d	5F7A8F262B52F385FA7936E9111B014C1EA6C73330AF6F444985744B8E786539	08E1EA724B244F1CFDB80D951E4ED97A367E4B176D1CDF4B87CA1C1E724ADA82
NumStability/Source/Higham/Chapter10/Lemma13/KahanSharpness.lean	d6fcefc6a35291496c60d972ae01204a4b541e19	7464DA75FDAC3E991A06DC69F9C84528F96B545A491A96BB72D41D3AD630929C	E5D4D0F475CA24691917037BD4726367C64F4D4A3FB39AF4272A76033B43B9F3
NumStability/Source/Higham/Chapter10/Problem01/PositiveSemidefiniteEntries.lean	d2cf69da628fccdb87aa43774e1c0204b55bf6d5	BDB055AC6E92717FE92190217A2F03FBC34A8A90946FFE564BA005F826F0BFAB	8BA4831759706B70FAD1A3DBC200662595BF90A6D7E96EAC7EA3FB1785199F81
NumStability/Source/Higham/Chapter10/Problem04/UnpivotedGrowth.lean	f6999997dac5769e982ff1f6ee4af1e5b4d0950f	0F8919670327D69CF689AF2F1349B53565E1F04047180090E4790CD6303A1C4C	4C7FAB8D4C42C269B81C930A020B7AF2F07DD4DCF6F9DA1C345E743959695B49
NumStability/Source/Higham/Chapter10/Section01/Factorization.lean	30fc15019272cd511be73f028f33cf3ecb4cfbc1	2E98F80726B050B2E75A70CD55122FE41F749EB16C9D2C780CDE5284D07AE1A3	96123B84782CB307918EBF1BF64CCE02B34F5241B9428C33D51B2A170C4C8964
NumStability/Source/Higham/Chapter10/Section02/ErrorAnalysis.lean	362ed166a6bf2be1866f265f534e4957fca3e9d3	E415A6C4998F48825AFD3CE27ECCB2DB23ACE881BFF25F436FC31600BC26DB93	10CBC9812D76D0F075D79A9F2F7DA1BE8DC5EE0079A490539769793CE9FE0D7C
NumStability/Source/Higham/Chapter10/Section03/PositiveSemidefinite.lean	2cb21364f81bc594e1ead01294b33c25d01b7585	48EF6F60C4329145DA854DB271CEC8ED9D323D3290C6ACBCECDD18708E78C2A7	047EB8F6E0FABD8DC7FDCF7D9C867EA54E535F22A4C6F130467577E38C219F03
NumStability/Source/Higham/Chapter10/Section04/PositiveDefiniteSymmetricPart.lean	f4bedbd0ea16ccd296f7e34bf9ce3a3867c85516	B25AFC7D7B8714A7BBB343FA534BCBA4B06A6C6C63F4B6807228BD01AEC76CBC	679DE687DC2069E4BEC0D1C850A8190A6D9768245622DFE776D01987B1878D25
NumStability/Source/Higham/Chapter10/Theorem06/RoundedCholesky.lean	6f755cc32c7ec54b92a0b12bcc228f22833bcea1	D3E585841181C0075A933B1F59D592AFF1A6F5D23A8ED1BC7A52C6DC055CCD63	F6B6B44152E464481B1EF29CD5D012EBA1E831F3E353238B98B95B8503ADA427
NumStability/Source/Higham/Chapter10/Theorem08/ComponentwisePerturbation.lean	a45e2d1faa480adc4fcbc028f6564d19461c5025	B5A852CF0970DB0A3760288A4272041DFBFFE91BB343610F0B5C52DBE0C16027	C3090571D376656C32D80247B53ABCFD29E91D7A76DA62867D31ABD75B895787
NumStability/Source/Higham/Chapter10/Theorem08/NormwiseDiscrepancy.lean	a35212149fcf04b66a946591e1dd22c3b60fed9b	FA661F96A416A953A8E897308A937E707DEB7DA1064B05EF886D849AA425CD3F	9835E395811DFE428C35756723CC522147A3C1674850DAE1B4656A09E3EA8B10
NumStability/Source/Higham/Chapter10/Theorem14/CompletePivotedPSD.lean	d465a56797051cd781ba439bba717051b1f949e0	A3BC4B48D1E8A5F5C5626B89F10E0B691F22821DC702518586B66384BD48EBCE	A18494E358975F5AE4AAA9816B59CEC95F8C85B229DE3212D4321BE43CD67B1B
NumStability/Source/Higham/Chapter10/Theorem14/CompletePivotedPSD/Equation22.lean	4c789537d0a1f4c864d1ef62a146bcacfbb1989c	CB5ED122DF685F7A4B1F2930B4181B8144F9ADFFEAC31ABB83D3F2D3AD5AA6BA	CA5B60D083A69B2FA0B9F6A035BD8C516AF2D9E24CEA374CDB4DAF7A99A32550
NumStability/Source/Higham/Chapter10/Theorem14/CompletePivotedPSD/SourceError.lean	3e6383846d3ab3ed4659531500e25fe8b76f8a07	0A5997DF57CDD742B219FD21B2531DE5C979FD68A19D9306D0DF88B55E5F25E6	76F0CE5B8A00ED9E9C03DE24FF8DFD104BA34889867E529A058BF6C434AD5C33
NumStability/Source/Higham/Chapter10/Theorem14/CompletePivotedPSD/SourceSuccess.lean	712b38db7a1d390e9d5878833ead8592e013eaf2	F2A36CAC9069A601FC2DAD1E172AF87BC888D6D88451CBEDEBC08A7D40FF6895	CC2134DE8102B6482B86BAD3DD4AB57BD2DA35DFA972B382D419506D57DA7CD0
NumStability/Source/Higham/Chapter14/Algorithm04.lean	2e7a2c57b84ae62d5d6050bb5afab4c54fa2973c	A6A292A23931437D794C27CF30C514197168E0A8E9595CA8CFC5EC235EFF10C6	EF54EAE48A56346846C0551ADEAFE2C58119F56D09237FBECE4209E2F27173D2
NumStability/Source/Higham/Chapter14/Corollary06.lean	e6fa097cad2a2c2446d522f15e59d34dd846cce7	E55E33E3D4425CB66783B332770BC2630616BA2FAF438B42375BE294FF73492C	89F34B3F1F68EA10B08DBCD7AEE2A9878F711D21C85172E5938EC9559D33626B
NumStability/Source/Higham/Chapter14/Corollary07.lean	364c0472788b81690dd46f241e2bd87bea7abf6f	6C9CEE121A53CABA279CB45394890071101E0836BA3C3431577872D3B9880C5C	A6D595329075F16E3583A48A8D3EE0F952B1AE10593F72F9F2467C584876AAA2
