baseline_owner_module	baseline_declaration_name	visibility	kind	baseline_order	destination_module	route_class	normalization_decision
NumStability.Algorithms.StationaryIteration	NumStability.finiteResidualSigma_le_diagonalizable_bound	public	theorem	1	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	source	reviewed_equation20_closure
NumStability.Algorithms.StationaryIteration	NumStability.finiteResidualSigma_le_diagonalizable_max_bound	public	theorem	2	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	source	reviewed_equation20_closure
NumStability.Algorithms.StationaryIteration	NumStability.residualSigmaSup_le_diagonalizable_max_bound	public	theorem	3	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	source	reviewed_equation20_closure
NumStability.Algorithms.StationaryIteration	NumStability.residualSigmaTsum_le_diagonalizable_bound	public	theorem	4	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	source	reviewed_equation20_closure
NumStability.Algorithms.StationaryIteration	NumStability.residualSigmaTsum_le_diagonalizable_max_bound_direct	public	theorem	5	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	source	reviewed_equation20_closure
NumStability.Algorithms.StationaryIteration	NumStability.sigma_bound	public	theorem	6	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	source	reviewed_equation20_closure
NumStability.Algorithms.StationaryIteration	NumStability.singularErrorSourceTerm_componentwise_bound	public	theorem	7	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	source	reviewed_equation29_closure
NumStability.Algorithms.StationaryIteration	NumStability.singularErrorSourceTerm_componentwise_bound_of_local_error	public	theorem	8	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	source	reviewed_equation29_closure
NumStability.Algorithms.StationaryIteration	NumStability.singularErrorSourceTerm_norm_bound	public	theorem	9	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	source	reviewed_equation29_closure
NumStability.Algorithms.StationaryIteration	NumStability.singularErrorSourceTerm_norm_bound_of_local_error	public	theorem	10	NumStability.Source.Higham.Chapter17.Results.Equation29.SingularBounds	source	reviewed_equation29_closure
NumStability.Algorithms.StationaryIteration	NumStability.singular_error_split_finite_of_indexOneDrazin_projector	public	theorem	11	NumStability.Source.Higham.Chapter17.Results.Equation27.SingularErrorSplit	source	reviewed_equation27_route
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinFixedProjector_fixed_by_G	public	theorem	12	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinFixedProjector_idempotent	public	theorem	13	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinFixedProjector_matMulVec_fixed	public	theorem	14	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinFixedProjector_matPow_fixed	public	theorem	15	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinRangeProjector_commutes_with_G	public	theorem	16	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinRangeProjector_commutes_with_matPow	public	theorem	17	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinRangeProjector_matPow_sandwich	public	theorem	18	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazinRangeProjector_null_component_fixed	public	theorem	19	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazin_matPow_vec_split	public	theorem	20	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	NumStability.stationaryDrazin_matPow_vec_tendsto_fixedProjector_of_range_tendsto_zero	public	theorem	21	NumStability.Algorithms.LinearSystems.Iterative.Stationary.Semiconvergence.Projectors.FixedRange	reusable	reviewed_reusable_projector_closure
NumStability.Algorithms.StationaryIteration	_private.NumStability.Algorithms.StationaryIteration.0.NumStability.geom_partial_sum_le	private	theorem	22	NumStability.Source.Higham.Chapter17.Results.Equation20.DiagonalizableBounds	source	reviewed_equation20_closure
