declaration	owner_module	visibility	selected_owner	closure_role
NumStability.eigenvector_one_of_maxGen_of_orbit_tendsto	NumStability.Analysis.SemiconvergentBlockFormExists	public	yes	reverse_dependent
NumStability.eq_17_31_normwise_bound	NumStability.Algorithms.StationaryIterationDrazin	public	yes	reverse_dependent
NumStability.eq_17_32_componentwise_bound	NumStability.Algorithms.StationaryIterationDrazin	public	yes	reverse_dependent
NumStability.exists_real_primary_splitting_of_forall_orbit_tendsto	NumStability.Analysis.SemiconvergentExistenceComplete	public	yes	reverse_dependent
NumStability.finiteResidualSigma_le_diagonalizable_bound	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.finiteResidualSigma_le_diagonalizable_max_bound	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.higham17_22_exists_blockForm_spectralRadius_lt_one_of_forall_orbit_tendsto	NumStability.Source.Higham.Chapter17.Equation22	public	no	reverse_dependent
NumStability.higham17_22_sourceBlockForm_of_forall_orbit_tendsto	NumStability.Source.Higham.Chapter17.Equation22	public	no	reverse_dependent
NumStability.matPow_G_tendsto_oneEigenProjector_of_convergence	NumStability.Analysis.SemiconvergentLimitGeneral	public	yes	reverse_dependent
NumStability.matPow_G_tendsto_oneEigenProjector_of_convergence_real_spectrum	NumStability.Analysis.SemiconvergentRealSpectrumComplete	public	yes	reverse_dependent
NumStability.maxGenEigenspace_one_eq_eigenspace_of_forall_orbit_tendsto	NumStability.Analysis.SemiconvergentBlockFormExists	public	yes	reverse_dependent
NumStability.residualSigmaSup_le_diagonalizable_max_bound	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.residualSigmaTsum_le_diagonalizable_bound	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.residualSigmaTsum_le_diagonalizable_max_bound_direct	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.residualSigmaTsum_le_diagonalizable_max_bound_of_infNorm_bound	NumStability.Source.Higham.Chapter17.Equation20	public	yes	reverse_dependent
NumStability.semiconvergent_block_form_exists_of_convergence_real_spectrum	NumStability.Analysis.SemiconvergentRealSpectrumComplete	public	yes	reverse_dependent
NumStability.sigma_bound	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.singularErrorSourceTerm_componentwise_bound	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.singularErrorSourceTerm_componentwise_bound_of_local_error	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.singularErrorSourceTerm_norm_bound	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.singularErrorSourceTerm_norm_bound_of_local_error	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.singular_error_split_finite_of_indexOneDrazin_projector	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazinFixedProjector_fixed_by_G	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazinFixedProjector_idempotent	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazinFixedProjector_matMulVec_fixed	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazinFixedProjector_matPow_fixed	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazinRangeProjector_commutes_with_G	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazinRangeProjector_commutes_with_matPow	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazinRangeProjector_matPow_sandwich	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazinRangeProjector_null_component_fixed	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazin_matPow_vec_split	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
NumStability.stationaryDrazin_matPow_vec_tendsto_fixedProjector_of_range_tendsto_zero	NumStability.Algorithms.StationaryIteration	public	yes	reverse_dependent
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.geom_partial_sum_le	NumStability.Algorithms.StationaryIteration	private	yes	private_seed
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_left	NumStability.Algorithms.StationaryIteration	private	yes	private_seed
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_matSub_id	NumStability.Algorithms.StationaryIteration	private	yes	private_seed
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.matMul_matSub_id_right	NumStability.Algorithms.StationaryIteration	private	yes	private_seed
_private.NumStability.Algorithms.StationaryIteration.0.NumStability.residualSigmaTsum_entry_le_of_real_diagonalization	NumStability.Algorithms.StationaryIteration	private	yes	private_seed
